"Time","X4th.Ventricle"
-24.36,2357.76925888018
-24.35,2357.77310465207
-24.34,2357.77695042396
-24.33,2357.78079619585
-24.32,2357.78464196773
-24.31,2357.78848773962
-24.3,2357.79233351151
-24.29,2357.7961792834
-24.28,2357.80002505529
-24.27,2357.80387450136
-24.26,2357.80775009208
-24.25,2357.81162568281
-24.24,2357.81550127354
-24.23,2357.81937686426
-24.22,2357.82325245499
-24.21,2357.82712804571
-24.2,2357.83100363644
-24.19,2357.83487922717
-24.18,2357.83875481789
-24.17,2357.84264653456
-24.16,2357.84655213135
-24.15,2357.85045772814
-24.14,2357.85436332493
-24.13,2357.85826892172
-24.12,2357.86217451851
-24.11,2357.8660801153
-24.1,2357.8699857121
-24.09,2357.87389130889
-24.08,2357.87779690568
-24.07,2357.88173123599
-24.06,2357.88566702684
-24.05,2357.8896028177
-24.04,2357.89353860855
-24.03,2357.8974743994
-24.02,2357.90141019026
-24.01,2357.90534598111
-24,2357.90928177197
-23.99,2357.91321756282
-23.98,2357.91716446874
-23.97,2357.92113064242
-23.96,2357.92509681611
-23.95,2357.92906298979
-23.94,2357.93302916348
-23.93,2357.93699533716
-23.92,2357.94096151084
-23.91,2357.94492768453
-23.9,2357.94889385821
-23.89,2357.9528600319
-23.88,2357.95685005324
-23.87,2357.96084679929
-23.86,2357.96484354534
-23.85,2357.9688402914
-23.84,2357.97283703745
-23.83,2357.9768337835
-23.82,2357.98083052955
-23.81,2357.98482727561
-23.8,2357.98882402166
-23.79,2357.99282674321
-23.78,2357.99685425195
-23.77,2358.00088176068
-23.76,2358.00490926941
-23.75,2358.00893677814
-23.74,2358.01296428687
-23.73,2358.0169917956
-23.72,2358.02101930433
-23.71,2358.02504681306
-23.7,2358.02907432179
-23.69,2358.03312066436
-23.68,2358.03717912684
-23.67,2358.04123758933
-23.66,2358.04529605181
-23.65,2358.0493545143
-23.64,2358.05341297678
-23.63,2358.05747143927
-23.62,2358.06152990175
-23.61,2358.06558836424
-23.6,2358.06964753237
-23.59,2358.07373714046
-23.58,2358.07782674855
-23.57,2358.08191635663
-23.56,2358.08600596472
-23.55,2358.09009557281
-23.54,2358.09418518089
-23.53,2358.09827478898
-23.52,2358.10236439707
-23.51,2358.10645400515
-23.5,2358.11055730372
-23.49,2358.11467825002
-23.48,2358.11879919632
-23.47,2358.12292014263
-23.46,2358.12704108893
-23.45,2358.13116203523
-23.44,2358.13528298153
-23.43,2358.13940392784
-23.42,2358.14352487414
-23.41,2358.14764582044
-23.4,2358.15179360227
-23.39,2358.15594608017
-23.38,2358.16009855807
-23.37,2358.16425103597
-23.36,2358.16840351387
-23.35,2358.17255599177
-23.34,2358.17670846967
-23.33,2358.18086094758
-23.32,2358.18501342548
-23.31,2358.18917431937
-23.3,2358.19335852302
-23.29,2358.19754272667
-23.28,2358.20172693032
-23.27,2358.20591113396
-23.26,2358.21009533761
-23.25,2358.21427954126
-23.24,2358.21846374491
-23.23,2358.22264794855
-23.22,2358.2268321522
-23.21,2358.23103804527
-23.2,2358.23525416958
-23.19,2358.23947029389
-23.18,2358.2436864182
-23.17,2358.24790254251
-23.16,2358.25211866682
-23.15,2358.25633479113
-23.14,2358.26055091544
-23.13,2358.26476703975
-23.12,2358.26898617287
-23.11,2358.27323441352
-23.1,2358.27748265417
-23.09,2358.28173089482
-23.08,2358.28597913547
-23.07,2358.29022737613
-23.06,2358.29447561678
-23.05,2358.29872385743
-23.04,2358.30297209808
-23.03,2358.30722033873
-23.02,2358.31148499074
-23.01,2358.31576554418
-23,2358.32004609762
-22.99,2358.32432665106
-22.98,2358.3286072045
-22.97,2358.33288775794
-22.96,2358.33716831138
-22.95,2358.34144886481
