"Time","Left.Cerebral.White.Matter"
-51.7,218098.101721857
-51.69,218098.360790796
-51.68,218098.621417647
-51.67,218098.882845626
-51.66,218099.144273606
-51.65,218099.405701586
-51.64,218099.667129566
-51.63,218099.928557546
-51.62,218100.189985526
-51.61,218100.451413506
-51.6,218100.712841486
-51.59,218100.974446198
-51.58,218101.238243044
-51.57,218101.502039891
-51.56,218101.765836737
-51.55,218102.029633583
-51.54,218102.29343043
-51.53,218102.557227276
-51.52,218102.821024122
-51.51,218103.084820969
-51.5,218103.348617815
-51.49,218103.613577335
-51.48,218103.879752751
-51.47,218104.145928168
-51.46,218104.412103585
-51.45,218104.678279001
-51.44,218104.944454418
-51.43,218105.210629835
-51.42,218105.476805251
-51.41,218105.742980668
-51.4,218106.009156085
-51.39,218106.277488043
-51.38,218106.54605161
-51.37,218106.814615177
-51.36,218107.083178744
-51.35,218107.351742311
-51.34,218107.620305878
-51.33,218107.888869445
-51.32,218108.157433012
-51.31,218108.425996579
-51.3,218108.695320722
-51.29,218108.966281894
-51.28,218109.237243065
-51.27,218109.508204237
-51.26,218109.779165409
-51.25,218110.05012658
-51.24,218110.321087752
-51.23,218110.592048924
-51.22,218110.863010095
-51.21,218111.133971267
-51.2,218111.406692937
-51.19,218111.680061039
-51.18,218111.953429141
-51.17,218112.226797243
-51.16,218112.500165345
-51.15,218112.773533447
-51.14,218113.046901549
-51.13,218113.320269651
-51.12,218113.593637752
-51.11,218113.867357725
-51.1,218114.143141953
-51.09,218114.41892618
-51.08,218114.694710407
-51.07,218114.970494634
-51.06,218115.246278861
-51.05,218115.522063089
-51.04,218115.797847316
-51.03,218116.073631543
-51.02,218116.34941577
-51.01,218116.626557714
-51,218116.904767128
-50.99,218117.182976542
-50.98,218117.461185957
-50.97,218117.739395371
-50.96,218118.017604785
-50.95,218118.295814199
-50.94,218118.574023613
-50.93,218118.852233027
-50.92,218119.130442442
-50.91,218119.411022793
-50.9,218119.691666321
-50.89,218119.972309848
-50.88,218120.252953375
-50.87,218120.533596902
-50.86,218120.81424043
-50.85,218121.094883957
-50.84,218121.375527484
-50.83,218121.656171012
-50.82,218121.937762999
-50.81,218122.220849428
-50.8,218122.503935856
-50.79,218122.787022285
-50.78,218123.070108714
-50.77,218123.353195142
-50.76,218123.636281571
-50.75,218123.919368
-50.74,218124.202454428
-50.73,218124.485540857
-50.72,218124.770594549
-50.71,218125.056132527
-50.7,218125.341670505
-50.69,218125.627208483
-50.68,218125.912746461
-50.67,218126.198284439
-50.66,218126.483822417
-50.65,218126.769360395
-50.64,218127.054898373
-50.63,218127.340969353
-50.62,218127.628967386
-50.61,218127.916965418
-50.6,218128.204963451
-50.59,218128.492961484
-50.58,218128.780959516
-50.57,218129.068957549
-50.56,218129.356955581
-50.55,218129.644953614
-50.54,218129.932951647
-50.53,218130.222506924
-50.52,218130.512973371
-50.51,218130.803439819
-50.5,218131.093906266
-50.49,218131.384372713
-50.48,218131.674839161
-50.47,218131.965305608
-50.46,218132.255772056
-50.45,218132.546238503
-50.44,218132.836816582
-50.43,218133.129759657
-50.42,218133.422702732
-50.41,218133.715645807
-50.4,218134.008588882
-50.39,218134.301531957
-50.38,218134.594475031
-50.37,218134.887418106
-50.36,218135.180361181
-50.35,218135.473304256
-50.34,218135.767388499
-50.33,218136.062816265
-50.32,218136.35824403
-50.31,218136.653671796
-50.3,218136.949099561
-50.29,218137.244527327
-50.28,218137.539955092
-50.27,218137.835382858
-50.26,218138.130810623
-50.25,218138.426238389
-50.24,218138.723843405
-50.23,218139.021763772
-50.22,218139.319684139
-50.21,218139.617604506
-50.2,218139.915524873
-50.19,218140.21344524
-50.18,218140.511365608
-50.17,218140.809285975
-50.16,218141.107206342
-50.15,218141.405846039
-50.14,218141.706266764
-50.13,218142.006687489
-50.12,218142.307108214
-50.11,218142.607528939
-50.1,218142.907949664
-50.09,218143.208370389
-50.08,218143.508791114
-50.07,218143.80921184
-50.06,218144.109632565
-50.05,218144.411813617
-50.04,218144.714742299
-50.03,218145.017670982
-50.02,218145.320599665
-50.01,218145.623528348
-50,218145.92645703
