"Time","Right.Cortex"
-0.269999999999996,249656.079687439
-0.259999999999998,249654.241145256
-0.25,249652.402603072
-0.240000000000002,249650.564060889
-0.229999999999997,249648.725518705
-0.219999999999999,249646.886976522
-0.210000000000001,249645.048310674
-0.200000000000003,249643.208376432
-0.189999999999998,249641.36844219
-0.18,249639.528507948
-0.170000000000002,249637.688573706
-0.159999999999997,249635.848639463
-0.149999999999999,249634.008705221
-0.140000000000001,249632.168770979
-0.130000000000003,249630.328836737
-0.119999999999997,249628.488902495
-0.109999999999999,249626.648263624
-0.100000000000001,249624.806928643
-0.0899999999999963,249622.965593662
-0.0799999999999983,249621.124258681
-0.0700000000000003,249619.2829237
-0.0600000000000023,249617.441588719
-0.0499999999999972,249615.600253738
-0.0399999999999991,249613.758918757
-0.0300000000000011,249611.917583776
-0.019999999999996,249610.076248795
-0.00999999999999801,249608.233621012
0,249606.390876594
0.00999999999999801,249604.548132176
0.0200000000000031,249602.705387758
0.0300000000000011,249600.86264334
0.0399999999999991,249599.019898921
0.0499999999999972,249597.177154503
0.0600000000000023,249595.334410085
0.0700000000000003,249593.491665667
0.0799999999999983,249591.648451198
0.0900000000000034,249589.804288626
0.100000000000001,249587.960126054
0.109999999999999,249586.115963482
0.119999999999997,249584.27180091
0.130000000000003,249582.427638338
0.140000000000001,249580.583475766
0.149999999999999,249578.739313194
0.160000000000004,249576.895150622
0.170000000000002,249575.05098805
0.18,249573.205761506
0.189999999999998,249571.360172045
0.200000000000003,249569.514582584
0.210000000000001,249567.668993123
0.219999999999999,249565.823403662
0.230000000000004,249563.9778142
0.240000000000002,249562.132224739
0.25,249560.286635278
0.259999999999998,249558.441045817
0.270000000000003,249556.595226849
0.280000000000001,249554.748201745
0.289999999999999,249552.901176641
0.299999999999997,249551.054151537
0.310000000000002,249549.207126433
0.32,249547.360101329
0.329999999999998,249545.513076225
0.340000000000003,249543.666051121
0.350000000000001,249541.819026017
0.359999999999999,249539.972000913
0.369999999999997,249538.124146614
0.380000000000003,249536.275677095
0.390000000000001,249534.427207576
0.399999999999999,249532.578738056
0.410000000000004,249530.730268537
0.420000000000002,249528.881799018
0.43,249527.033329498
0.439999999999998,249525.184859979
0.450000000000003,249523.33639046
0.460000000000001,249521.487920941
0.469999999999999,249519.638015253
0.480000000000004,249517.788092528
0.490000000000002,249515.938169802
0.5,249514.088247076
0.509999999999998,249512.23832435
0.520000000000003,249510.388401624
0.530000000000001,249508.538478898
0.539999999999999,249506.688556172
0.549999999999997,249504.838633447
0.560000000000002,249502.988122287
0.57,249501.136737544
0.579999999999998,249499.285352802
0.590000000000003,249497.433968059
0.600000000000001,249495.582583316
0.609999999999999,249493.731198574
0.619999999999997,249491.879813831
0.630000000000003,249490.028429088
0.640000000000001,249488.177044346
0.649999999999999,249486.325659603
0.660000000000004,249484.47307364
0.670000000000002,249482.620218052
0.68,249480.767362463
0.689999999999998,249478.914506874
0.700000000000003,249477.061651285
0.710000000000001,249475.208795696
0.719999999999999,249473.355940107
0.730000000000004,249471.503084519
0.740000000000002,249469.65022893
0.75,249467.797031691
0.759999999999998,249465.942696408
0.770000000000003,249464.088361124
0.780000000000001,249462.234025841
0.789999999999999,249460.379690557
0.799999999999997,249458.525355274
0.810000000000002,249456.67101999
0.82,249454.816684707
0.829999999999998,249452.962349423
