"Time","Left.Ventral.DC"
-28.28,4329.05488326337
-28.27,4329.05489816298
-28.26,4329.05491306258
-28.25,4329.05492796219
-28.24,4329.05494286179
-28.23,4329.0549577614
-28.22,4329.054972661
-28.21,4329.05498756061
-28.2,4329.05500254725
-28.19,4329.05501806511
-28.18,4329.05503358296
-28.17,4329.05504910081
-28.16,4329.05506461867
-28.15,4329.05508013652
-28.14,4329.05509565437
-28.13,4329.05511117223
-28.12,4329.05512669008
-28.11,4329.05514220793
-28.1,4329.05515808222
-28.09,4329.0551742423
-28.08,4329.05519040238
-28.07,4329.05520656246
-28.06,4329.05522272253
-28.05,4329.05523888261
-28.04,4329.05525504269
-28.03,4329.05527120277
-28.02,4329.05528736285
-28.01,4329.05530352293
-28,4329.05532032952
-27.99,4329.05533715666
-27.98,4329.0553539838
-27.97,4329.05537081094
-27.96,4329.05538763808
-27.95,4329.05540446522
-27.94,4329.05542129237
-27.93,4329.05543811951
-27.92,4329.05545494665
-27.91,4329.0554720394
-27.9,4329.05548955932
-27.89,4329.05550707924
-27.88,4329.05552459916
-27.87,4329.05554211907
-27.86,4329.05555963899
-27.85,4329.05557715891
-27.84,4329.05559467883
-27.83,4329.05561219875
-27.82,4329.05562971867
-27.81,4329.0556478124
-27.8,4329.05566605172
-27.79,4329.05568429105
-27.78,4329.05570253038
-27.77,4329.05572076971
-27.76,4329.05573900904
-27.75,4329.05575724837
-27.74,4329.0557754877
-27.73,4329.05579372703
-27.72,4329.05581212458
-27.71,4329.05583111089
-27.7,4329.0558500972
-27.69,4329.05586908351
-27.68,4329.05588806982
-27.67,4329.05590705613
-27.66,4329.05592604244
-27.65,4329.05594502875
-27.64,4329.05596401506
-27.63,4329.05598300137
-27.62,4329.05600247317
-27.61,4329.05602223501
-27.6,4329.05604199684
-27.59,4329.05606175868
-27.58,4329.05608152051
-27.57,4329.05610128235
-27.56,4329.05612104418
-27.55,4329.05614080601
-27.54,4329.05616056785
-27.53,4329.05618036207
-27.52,4329.05620092897
-27.51,4329.05622149588
-27.5,4329.05624206278
-27.49,4329.05626262968
-27.48,4329.05628319659
-27.47,4329.05630376349
-27.46,4329.0563243304
-27.45,4329.0563448973
-27.44,4329.0563654642
-27.43,4329.05638641085
-27.42,4329.0564078134
-27.41,4329.05642921596
-27.4,4329.05645061851
-27.39,4329.05647202106
-27.38,4329.05649342361
-27.37,4329.05651482616
-27.36,4329.05653622871
-27.35,4329.05655763126
-27.34,4329.05657903381
-27.33,4329.05660118973
-27.32,4329.05662345957
-27.31,4329.05664572941
-27.3,4329.05666799925
-27.29,4329.0566902691
-27.28,4329.05671253894
-27.27,4329.05673480878
-27.26,4329.05675707862
-27.25,4329.05677934846
-27.24,4329.05680187287
-27.23,4329.05682504275
-27.22,4329.05684821262
-27.21,4329.0568713825
-27.2,4329.05689455238
-27.19,4329.05691772225
-27.18,4329.05694089213
-27.17,4329.056964062
-27.16,4329.05698723188
-27.15,4329.05701040176
-27.14,4329.05703422261
-27.13,4329.05705832639
-27.12,4329.05708243018
-27.11,4329.05710653396
-27.1,4329.05713063775
-27.09,4329.05715474153
-27.08,4329.05717884532
-27.07,4329.0572029491
-27.06,4329.05722705288
-27.05,4329.05725126447
-27.04,4329.0572763372
-27.03,4329.05730140994
-27.02,4329.05732648268
-27.01,4329.05735155541
-27,4329.05737662815
-26.99,4329.05740170088
-26.98,4329.05742677362
-26.97,4329.05745184636
-26.96,4329.05747691909
-26.95,4329.05750252002
-26.94,4329.05752859795
-26.93,4329.05755467589
-26.92,4329.05758075382
-26.91,4329.05760683176
-26.9,4329.05763290969
-26.89,4329.05765898763
-26.88,4329.05768506556
-26.87,4329.0577111435
-26.86,4329.05773722143
-26.85,4329.05776427914
-26.84,4329.05779139976
-26.83,4329.05781852039
-26.82,4329.05784564101
-26.81,4329.05787276163
-26.8,4329.05789988225
-26.79,4329.05792700287
-26.78,4329.05795412349
-26.77,4329.05798124411
-26.76,4329.05800874743
-26.75,4329.0580369495
-26.74,4329.05806515157
-26.73,4329.05809335365
-26.72,4329.05812155572
-26.71,4329.05814975779
-26.7,4329.05817795987
-26.69,4329.05820616194
-26.68,4329.05823436401
-26.67,4329.05826256609
-26.66,4329.05829162958
-26.65,4329.05832095319
-26.64,4329.0583502768
-26.63,4329.0583796004
-26.62,4329.05840892401
-26.61,4329.05843824762
-26.6,4329.05846757123
-26.59,4329.05849689484
-26.58,4329.05852621844
-26.57,4329.05855575404
-26.56,4329.05858624062
-26.55,4329.0586167272
-26.54,4329.05864721379
-26.53,4329.05867770037
-26.52,4329.05870818695
-26.51,4329.05873867353
-26.5,4329.05876916012
-26.49,4329.0587996467
-26.48,4329.05883013328
-26.47,4329.05886133911
-26.46,4329.05889303151
-26.45,4329.0589247239
-26.44,4329.0589564163
-26.43,4329.05898810869
-26.42,4329.05901980109
-26.41,4329.05905149348
-26.4,4329.05908318587
-26.39,4329.05911487827
-26.38,4329.05914658403
-26.37,4329.05917952651
-26.36,4329.05921246899
-26.35,4329.05924541147
-26.34,4329.05927835396
-26.33,4329.05931129644
-26.32,4329.05934423892
-26.31,4329.0593771814
-26.3,4329.05941012388
-26.29,4329.05944306637
-26.28,4329.05947655945
-26.27,4329.05951079778
-26.26,4329.05954503611
-26.25,4329.05957927444
-26.24,4329.05961351277
-26.23,4329.0596477511
-26.22,4329.05968198943
-26.21,4329.05971622776
-26.2,4329.05975046609
-26.19,4329.05978470441
-26.18,4329.05982006977
-26.17,4329.05985565123
-26.16,4329.05989123269
-26.15,4329.05992681415
-26.14,4329.05996239561
-26.13,4329.05999797707
-26.12,4329.06003355853
-26.11,4329.06006913999
-26.1,4329.06010472145
-26.09,4329.06014065552
-26.08,4329.06017762897
-26.07,4329.06021460241
-26.06,4329.06025157586
-26.05,4329.06028854931
-26.04,4329.06032552276
-26.03,4329.0603624962
-26.02,4329.06039946965
-26.01,4329.0604364431
-26,4329.06047341655
-25.99,4329.06051135286
-25.98,4329.06054976877
-25.97,4329.06058818467
-25.96,4329.06062660058
-25.95,4329.06066501649
-25.94,4329.06070343239
-25.93,4329.0607418483
-25.92,4329.06078026421
-25.91,4329.06081868012
-25.9,4329.06085721816
-25.89,4329.06089712867
-25.88,4329.06093703917
-25.87,4329.06097694967
-25.86,4329.06101686018
-25.85,4329.06105677068
-25.84,4329.06109668119
-25.83,4329.06113659169
-25.82,4329.06117650219
-25.81,4329.0612164127
-25.8,4329.06125709111
-25.79,4329.06129855006
-25.78,4329.06134000901
-25.77,4329.06138146796
-25.76,4329.06142292691
-25.75,4329.06146438586
-25.74,4329.06150584481
-25.73,4329.06154730376
-25.72,4329.06158876271
-25.71,4329.06163022166
-25.7,4329.06167314051
-25.69,4329.06171620352
-25.68,4329.06175926652
-25.67,4329.06180232953
-25.66,4329.06184539253
-25.65,4329.06188845554
-25.64,4329.06193151854
-25.63,4329.06197458155
-25.62,4329.06201764455
-25.61,4329.06206124644
-25.6,4329.06210597093
-25.59,4329.06215069541
-25.58,4329.0621954199
-25.57,4329.06224014438
-25.56,4329.06228486887
-25.55,4329.06232959336
-25.54,4329.06237431784
-25.53,4329.06241904233
-25.52,4329.06246376681
-25.51,4329.06250976216
-25.5,4329.06255620741
-25.49,4329.06260265267
-25.48,4329.06264909792
-25.47,4329.06269554318
-25.46,4329.06274198843
-25.45,4329.06278843368
-25.44,4329.06283487894
-25.43,4329.06288132419
-25.42,4329.06292804164
-25.41,4329.06297626887
-25.4,4329.06302449609
-25.39,4329.06307272332
-25.38,4329.06312095055
-25.37,4329.06316917778
-25.36,4329.06321740501
-25.35,4329.06326563223
-25.34,4329.06331385946
-25.33,4329.06336208669
-25.32,4329.06341136003
-25.31,4329.06346143241
-25.3,4329.06351150479
-25.29,4329.06356157716
-25.28,4329.06361164954
-25.27,4329.06366172192
-25.26,4329.0637117943
-25.25,4329.06376186668
-25.24,4329.06381193905
-25.23,4329.06386201143
-25.22,4329.06391395817
-25.21,4329.06396594091
-25.2,4329.06401792364
-25.19,4329.06406990637
-25.18,4329.0641218891
-25.17,4329.06417387184
-25.16,4329.06422585457
-25.15,4329.0642778373
-25.14,4329.06432982003
-25.13,4329.06438258466
-25.12,4329.06443654504
-25.11,4329.06449050541
-25.1,4329.06454446579
-25.09,4329.06459842616
-25.08,4329.06465238654
-25.07,4329.06470634691
-25.06,4329.06476030729
-25.05,4329.06481426766
-25.04,4329.06486822804
-25.03,4329.06492384567
-25.02,4329.06497985311
-25.01,4329.06503586056
-25,4329.06509186801
-24.99,4329.06514787546
-24.98,4329.06520388291
-24.97,4329.06525989036
-24.96,4329.06531589781
-24.95,4329.06537190525
-24.94,4329.06542838682
-24.93,4329.06548651297
-24.92,4329.06554463913
-24.91,4329.06560276528
-24.9,4329.06566089143
-24.89,4329.06571901759
-24.88,4329.06577714374
-24.87,4329.06583526989
-24.86,4329.06589339604
-24.85,4329.0659515222
-24.84,4329.06601104719
-24.83,4329.06607136594
-24.82,4329.06613168469
-24.81,4329.06619200344
-24.8,4329.0662523222
-24.79,4329.06631264095
-24.78,4329.0663729597
-24.77,4329.06643327845
-24.76,4329.0664935972
-24.75,4329.06655403436
-24.74,4329.06661662193
-24.73,4329.06667920949
-24.72,4329.06674179706
-24.71,4329.06680438463
-24.7,4329.06686697219
-24.69,4329.06692955976
-24.68,4329.06699214733
-24.67,4329.0670547349
-24.66,4329.06711732246
-24.65,4329.06718100485
-24.64,4329.06724593984
-24.63,4329.06731087483
-24.62,4329.06737580982
-24.61,4329.06744074481
-24.6,4329.0675056798
-24.59,4329.06757061478
-24.58,4329.06763554977
-24.57,4329.06770048476
-24.56,4329.06776541975
-24.55,4329.06783249326
-24.54,4329.06789985672
-24.53,4329.06796722019
-24.52,4329.06803458366
-24.51,4329.06810194713
-24.5,4329.06816931059
-24.49,4329.06823667406
-24.48,4329.06830403753
-24.47,4329.068371401
-24.46,4329.06843950503
-24.45,4329.06850938055
-24.44,4329.06857925608
-24.43,4329.0686491316
-24.42,4329.06871900712
-24.41,4329.06878888264
-24.4,4329.06885875816
-24.39,4329.06892863369
-24.38,4329.06899850921
-24.37,4329.06906838473
-24.36,4329.06914010242
-24.35,4329.06921257616
-24.34,4329.06928504989
-24.33,4329.06935752363
-24.32,4329.06942999737
-24.31,4329.06950247111
-24.3,4329.06957494485
-24.29,4329.06964741859
-24.28,4329.06971989233
-24.27,4329.06979269715
-24.26,4329.06986785793
-24.25,4329.0699430187
-24.24,4329.07001817947
-24.23,4329.07009334024
-24.22,4329.07016850102
-24.21,4329.07024366179
-24.2,4329.07031882256
-24.19,4329.07039398333
-24.18,4329.07046914411
-24.17,4329.07054579815
-24.16,4329.0706237375
-24.15,4329.07070167685
-24.14,4329.0707796162
-24.13,4329.07085755554
-24.12,4329.07093549489
-24.11,4329.07101343424
-24.1,4329.07109137359
-24.09,4329.07116931294
-24.08,4329.07124725229
-24.07,4329.07132792559
-24.06,4329.07140873785
-24.05,4329.07148955011
-24.04,4329.07157036238
-24.03,4329.07165117464
-24.02,4329.07173198691
-24.01,4329.07181279917
-24,4329.07189361144
-23.99,4329.0719744237
-23.98,4329.07205632254
-23.97,4329.07214010493
-23.96,4329.07222388732
-23.95,4329.07230766971
-23.94,4329.0723914521
-23.93,4329.07247523449
-23.92,4329.07255901688
-23.91,4329.07264279928
-23.9,4329.07272658167
-23.89,4329.07281036406
-23.88,4329.07289654139
-23.87,4329.07298339406
-23.86,4329.07307024674
-23.85,4329.07315709941
-23.84,4329.07324395208
-23.83,4329.07333080476
-23.82,4329.07341765743
-23.81,4329.0735045101
-23.8,4329.07359136278
-23.79,4329.07367883188
-23.78,4329.07376885801
-23.77,4329.07385888415
-23.76,4329.07394891028
-23.75,4329.07403893642
-23.74,4329.07412896255
-23.73,4329.07421898868
-23.72,4329.07430901482
-23.71,4329.07439904095
-23.7,4329.07448906708
-23.69,4329.07458108878
-23.68,4329.07467439465
-23.67,4329.07476770052
-23.66,4329.07486100639
-23.65,4329.07495431227
-23.64,4329.07504761814
-23.63,4329.07514092401
-23.62,4329.07523422988
-23.61,4329.07532753575
-23.6,4329.07542091841
-23.59,4329.07551761348
-23.58,4329.07561430855
-23.57,4329.07571100361
-23.56,4329.07580769868
-23.55,4329.07590439375
-23.54,4329.07600108882
-23.53,4329.07609778389
-23.52,4329.07619447895
-23.51,4329.07629117402
-23.5,4329.07638939894
-23.49,4329.07648959592
-23.48,4329.0765897929
-23.47,4329.07668998988
-23.46,4329.07679018686
-23.45,4329.07689038384
-23.44,4329.07699058082
-23.43,4329.0770907778
-23.42,4329.07719097478
-23.41,4329.07729117176
-23.4,4329.07739444788
-23.39,4329.07749826284
-23.38,4329.07760207779
-23.37,4329.07770589275
-23.36,4329.0778097077
-23.35,4329.07791352265
-23.34,4329.07801733761
-23.33,4329.07812115256
-23.32,4329.07822496751
-23.31,4329.07832977392
-23.3,4329.07843732633
-23.29,4329.07854487874
-23.28,4329.07865243116
-23.27,4329.07875998357
-23.26,4329.07886753599
-23.25,4329.0789750884
-23.24,4329.07908264081
-23.23,4329.07919019323
-23.22,4329.07929774564
-23.21,4329.07940792116
-23.2,4329.07951933403
-23.19,4329.07963074691
-23.18,4329.07974215978
-23.17,4329.07985357266
-23.16,4329.07996498553
-23.15,4329.0800763984
-23.14,4329.08018781128
-23.13,4329.08029922415
-23.12,4329.08041101055
-23.11,4329.08052641049
-23.1,4329.08064181042
-23.09,4329.08075721036
-23.08,4329.08087261029
-23.07,4329.08098801023
-23.06,4329.08110341016
-23.05,4329.0812188101
-23.04,4329.08133421003
-23.03,4329.08144960997
-23.02,4329.08156710106
-23.01,4329.08168661835
-23,4329.08180613563
-22.99,4329.08192565292
-22.98,4329.0820451702
-22.97,4329.08216468748
-22.96,4329.08228420477
-22.95,4329.08240372205
-22.94,4329.08252323934
-22.93,4329.08264275662
-22.92,4329.08276619412
-22.91,4329.08288996282
-22.9,4329.08301373152
-22.89,4329.08313750023
-22.88,4329.08326126893
-22.87,4329.08338503763
-22.86,4329.08350880633
-22.85,4329.08363257503
-22.84,4329.08375634374
-22.83,4329.08388158859
-22.82,4329.08400974665
-22.81,4329.08413790471
-22.8,4329.08426606277
-22.79,4329.08439422083
-22.78,4329.08452237889
-22.77,4329.08465053695
-22.76,4329.08477869501
-22.75,4329.08490685307
-22.74,4329.08503501113
-22.73,4329.08516656993
-22.72,4329.08529925926
-22.71,4329.08543194858
-22.7,4329.0855646379
-22.69,4329.08569732723
-22.68,4329.08583001655
-22.67,4329.08596270588
-22.66,4329.0860953952
-22.65,4329.08622808452
-22.64,4329.08636154425
-22.63,4329.0864989108
