"Time","Left.Thalamus.Proper"
-1.96,6305.74904908834
-1.95,6305.68889027877
-1.94,6305.6287314692
-1.93,6305.56863006945
-1.92,6305.50856193553
-1.91,6305.44849380161
-1.9,6305.38842566769
-1.89,6305.32835753377
-1.88,6305.26828939986
-1.87,6305.20822126594
-1.86,6305.14815313202
-1.85,6305.0880849981
-1.84,6305.02802118895
-1.83,6304.96804441164
-1.82,6304.90806763434
-1.81,6304.84809085704
-1.8,6304.78811407974
-1.79,6304.72813730244
-1.78,6304.66816052513
-1.77,6304.60818374783
-1.76,6304.54820697053
-1.75,6304.48823019323
-1.74,6304.42829589378
-1.73,6304.36841115054
-1.72,6304.30852640729
-1.71,6304.24864166405
-1.7,6304.1887569208
-1.69,6304.12887217756
-1.68,6304.06898743431
-1.67,6304.00910269107
-1.66,6303.94921794782
-1.65,6303.88933320458
-1.64,6303.82952965038
-1.63,6303.76973761509
-1.62,6303.7099455798
-1.61,6303.6501535445
-1.6,6303.59036150921
-1.59,6303.53056947391
-1.58,6303.47077743862
-1.57,6303.41098540333
-1.56,6303.35119336803
-1.55,6303.29142840836
-1.54,6303.23172975134
-1.53,6303.17203109433
-1.52,6303.11233243731
-1.51,6303.05263378029
-1.5,6302.99293512327
-1.49,6302.93323646626
-1.48,6302.87353780924
-1.47,6302.81383915222
-1.46,6302.75414049521
-1.45,6302.69450806111
-1.44,6302.6349034491
-1.43,6302.5752988371
-1.42,6302.51569422509
-1.41,6302.45608961308
-1.4,6302.39648500108
-1.39,6302.33688038907
-1.38,6302.27727577707
-1.37,6302.21767116506
-1.36,6302.15807776343
-1.35,6302.09856785956
-1.34,6302.03905795569
-1.33,6301.97954805181
-1.32,6301.92003814794
-1.31,6301.86052824407
-1.3,6301.80101834019
-1.29,6301.74150843632
-1.28,6301.68199853245
-1.27,6301.62248862858
-1.26,6301.56302951495
-1.25,6301.5036149787
-1.24,6301.44420044245
-1.23,6301.38478590619
-1.22,6301.32537136994
-1.21,6301.26595683369
-1.2,6301.20654229744
-1.19,6301.14712776119
-1.18,6301.08771322494
-1.17,6301.02829868869
-1.16,6300.96897506542
-1.15,6300.90965655262
-1.14,6300.85033803982
-1.13,6300.79101952703
-1.12,6300.73170101423
-1.11,6300.67238250143
-1.1,6300.61306398864
-1.09,6300.55374547584
-1.08,6300.49442696304
-1.07,6300.43514334865
-1.06,6300.37592151147
-1.05,6300.31669967428
-1.04,6300.2574778371
-1.03,6300.19825599991
-1.02,6300.13903416273
-1.01,6300.07981232554
-1,6300.02059048836
-0.990000000000002,6299.96136865117
-0.979999999999997,6299.90214681399
-0.969999999999999,6299.84300042147
