"Time","P_D1D2"
-44.42,-284805.052941242
-44.41,-284724.736000245
-44.4,-284644.419059247
-44.39,-284564.003119548
-44.38,-284483.408451054
-44.37,-284402.813782561
-44.36,-284322.219114067
-44.35,-284241.624445574
-44.34,-284161.029777081
-44.33,-284080.435108587
-44.32,-283999.840440094
-44.31,-283919.245771601
-44.3,-283838.651103107
-44.29,-283758.056434614
-44.28,-283677.401383296
-44.27,-283596.528527869
-44.26,-283515.655672442
-44.25,-283434.782817015
-44.24,-283353.909961589
-44.23,-283273.037106162
-44.22,-283192.164250735
-44.21,-283111.291395308
-44.2,-283030.418539881
-44.19,-282949.545684454
-44.18,-282868.672829027
-44.17,-282787.778334892
-44.16,-282706.62683496
-44.15,-282625.475335028
-44.14,-282544.323835097
-44.13,-282463.172335165
-44.12,-282382.020835233
-44.11,-282300.869335301
-44.1,-282219.71783537
-44.09,-282138.566335438
-44.08,-282057.414835506
-44.07,-281976.263335575
-44.06,-281895.111835643
-44.05,-281813.69846838
-44.04,-281732.267868253
-44.03,-281650.837268126
-44.02,-281569.406668
-44.01,-281487.976067873
-44,-281406.545467747
-43.99,-281325.11486762
-43.98,-281243.684267493
-43.97,-281162.253667367
-43.96,-281080.82306724
-43.95,-280999.392467114
-43.94,-280917.7385441
-43.93,-280836.028389984
-43.92,-280754.318235868
-43.91,-280672.608081753
-43.9,-280590.897927637
-43.89,-280509.187773522
-43.88,-280427.477619406
-43.87,-280345.767465291
-43.86,-280264.057311175
-43.85,-280182.34715706
-43.84,-280100.637002944
-43.83,-280018.742198164
-43.82,-279936.752038177
-43.81,-279854.76187819
-43.8,-279772.771718202
-43.79,-279690.781558215
-43.78,-279608.791398227
-43.77,-279526.80123824
-43.76,-279444.811078253
-43.75,-279362.820918265
-43.74,-279280.830758278
-43.73,-279198.84059829
-43.72,-279116.70458685
-43.71,-279034.433971034
-43.7,-278952.163355218
-43.69,-278869.892739401
-43.68,-278787.622123585
-43.67,-278705.351507769
-43.66,-278623.080891953
-43.65,-278540.810276137
-43.64,-278458.53966032
-43.63,-278376.269044504
-43.62,-278293.998428688
-43.61,-278211.620886818
-43.6,-278129.069367157
-43.59,-278046.517847496
-43.58,-277963.966327835
-43.57,-277881.414808174
-43.56,-277798.863288514
-43.55,-277716.311768853
-43.54,-277633.760249192
-43.53,-277551.208729531
-43.52,-277468.65720987
-43.51,-277386.105690209
-43.5,-277303.486295274
-43.49,-277220.653425708
