"Time","Left.Lateral.Ventricle"
22.36,32107.8031522072
22.37,32109.570665607
22.38,32111.3381790068
22.39,32113.1056924066
22.4,32114.8732058064
22.41,32116.6407192062
22.42,32118.4099494538
22.43,32120.179503394
22.44,32121.9490573342
22.45,32123.7186112743
22.46,32125.4881652145
22.47,32127.2577191546
22.48,32129.0272730948
22.49,32130.796827035
22.5,32132.5663809751
22.51,32134.3364573731
22.52,32136.1080555587
22.53,32137.8796537443
22.54,32139.6512519299
22.55,32141.4228501155
22.56,32143.1944483011
22.57,32144.9660464867
22.58,32146.7376446723
22.59,32148.5092428579
22.6,32150.2808410435
22.61,32152.0538109114
22.62,32153.8274570549
22.63,32155.6011031984
22.64,32157.3747493419
22.65,32159.1483954854
22.66,32160.9220416289
22.67,32162.6956877724
22.68,32164.4693339159
22.69,32166.2429800594
22.7,32168.0167985155
22.71,32169.7924963368
22.72,32171.5681941581
22.73,32173.3438919793
22.74,32175.1195898006
22.75,32176.8952876219
22.76,32178.6709854432
22.77,32180.4466832645
22.78,32182.2223810858
22.79,32183.998078907
22.8,32185.7748007143
22.81,32187.5525539407
22.82,32189.3303071671
22.83,32191.1080603934
22.84,32192.8858136198
22.85,32194.6635668462
22.86,32196.4413200725
22.87,32198.2190732989
22.88,32199.9968265253
22.89,32201.7745797516
22.9,32203.554211732
22.91,32205.3340240982
22.92,32207.1138364644
22.93,32208.8936488306
22.94,32210.6734611968
22.95,32212.453273563
22.96,32214.2330859292
22.97,32216.0128982954
22.98,32217.7927106616
22.99,32219.5731967716
23,32221.3550720198
23.01,32223.1369472681
23.02,32224.9188225164
23.03,32226.7006977646
23.04,32228.4825730129
23.05,32230.2644482611
23.06,32232.0463235094
23.07,32233.8281987577
23.08,32235.6100740059
23.09,32237.3934802331
23.1,32239.1774221132
23.11,32240.9613639932
23.12,32242.7453058732
23.13,32244.5292477532
23.14,32246.3131896332
23.15,32248.0971315132
23.16,32249.8810733933
23.17,32251.6650152733
23.18,32253.4492780935
23.19,32255.2352903624
23.2,32257.0213026314
23.21,32258.8073149004
23.22,32260.5933271694
23.23,32262.3793394383
23.24,32264.1653517073
23.25,32265.9513639763
23.26,32267.7373762452
23.27,32269.5233885142
23.28,32271.3105814331
23.29,32273.0986678557
23.3,32274.8867542784
23.31,32276.674840701
23.32,32278.4629271237
23.33,32280.2510135463
