"Time","MMSE"
54.72,14.16031350187
54.73,14.1584461247443
54.74,14.1565808003449
54.75,14.1547165119995
54.76,14.1528522236541
54.77,14.1509879353087
54.78,14.1491236469633
54.79,14.147259358618
54.8,14.1453950702726
54.81,14.1435307819272
54.82,14.1416664935818
54.83,14.1398022052364
54.84,14.1379379168911
54.85,14.1360736285457
54.86,14.1342097592301
54.87,14.1323485750235
54.88,14.1304873908169
54.89,14.1286262066103
54.9,14.1267650224037
54.91,14.124903838197
54.92,14.1230426539904
54.93,14.1211814697838
54.94,14.1193202855772
54.95,14.1174591013706
54.96,14.115597917164
54.97,14.1137367329573
54.98,14.1118755487507
54.99,14.1100162530508
55,14.1081581882476
55.01,14.1063001234444
55.02,14.1044420586412
55.03,14.102583993838
55.04,14.1007259290348
55.05,14.0988678642317
55.06,14.0970097994285
55.07,14.0951517346253
55.08,14.0932936698221
55.09,14.0914356050189
55.1,14.0895775402157
55.11,14.0877197130823
55.12,14.0858647828531
55.13,14.0840098526238
55.14,14.0821549223946
55.15,14.0802999921654
55.16,14.0784450619362
55.17,14.0765901317069
55.18,14.0747352014777
55.19,14.0728802712485
55.2,14.0710253410193
55.21,14.06917041079
55.22,14.0673154805608
55.23,14.0654605503316
55.24,14.06360734056
55.25,14.0617555599808
55.26,14.0599037794016
55.27,14.0580519988224
55.28,14.0562002182431
55.29,14.0543484376639
55.3,14.0524966570847
55.31,14.0506448765055
55.32,14.0487930959263
55.33,14.0469413153471
55.34,14.0450895347679
55.35,14.0432377541887
55.36,14.0413860263113
55.37,14.0395374103634
55.38,14.0376887944154
55.39,14.0358401784675
55.4,14.0339915625196
55.41,14.0321429465716
55.42,14.0302943306237
55.43,14.0284457146757
55.44,14.0265970987278
55.45,14.0247484827799
55.46,14.0228998668319
55.47,14.021051250884
55.48,14.0192026349361
55.49,14.0173555676326
55.5,14.015510131202
55.51,14.0136646947715
55.52,14.0118192583409
55.53,14.0099738219103
55.54,14.0081283854797
55.55,14.0062829490492
55.56,14.0044375126186
55.57,14.002592076188
55.58,14.0007466397574
55.59,13.9989012033269
55.6,13.9970557668963
55.61,13.9952103304657
55.62,13.9933679525362
55.63,13.9915257104136
55.64,13.9896834682911
55.65,13.9878412261685
55.66,13.9859989840459
55.67,13.9841567419233
55.68,13.9823144998007
55.69,13.9804722576781
55.7,13.9786300155555
55.71,13.976787773433
55.72,13.9749455313104
55.73,13.9731032891878
55.74,13.9712624201988
55.75,13.969423387079
55.76,13.9675843539592
55.77,13.9657453208395
55.78,13.9639062877197
55.79,13.9620672545999
55.8,13.9602282214802
55.81,13.9583891883604
55.82,13.9565501552407
55.83,13.9547111221209
55.84,13.9528720890011
55.85,13.9510330558814
55.86,13.9491940227616
55.87,13.9473578854549
55.88,13.9455220759366
55.89,13.9436862664184
55.9,13.9418504569002
55.91,13.940014647382
55.92,13.9381788378637
55.93,13.9363430283455
55.94,13.9345072188273
55.95,13.932671409309
55.96,13.9308355997908
55.97,13.9289997902726
55.98,13.9271639807544
55.99,13.9253293652278
56,13.9234967938134
56.01,13.921664222399
56.02,13.9198316509846
56.03,13.9179990795702
56.04,13.9161665081558
56.05,13.9143339367414
56.06,13.912501365327
56.07,13.9106687939126
56.08,13.9088362224982
56.09,13.9070036510838
56.1,13.9051710796694
56.11,13.903338508255
56.12,13.9015086661754
56.13,13.8996793472703
56.14,13.8978500283653
56.15,13.8960207094603
56.16,13.8941913905553
56.17,13.8923620716502
56.18,13.8905327527452
56.19,13.8887034338402
56.2,13.8868741149352
56.21,13.8850447960302
56.22,13.8832154771251
56.23,13.8813861582201
56.24,13.8795578506013
56.25,13.8777317985142
56.26,13.875905746427
56.27,13.8740796943399
56.28,13.8722536422528
56.29,13.8704275901657
56.3,13.8686015380785
56.31,13.8667754859914
56.32,13.8649494339043
56.33,13.8631233818171
56.34,13.86129732973
56.35,13.8594712776429
56.36,13.8576452255558
56.37,13.8558217326016
56.38,13.8539989615435
56.39,13.8521761904855
56.4,13.8503534194274
56.41,13.8485306483694
56.42,13.8467078773113
56.43,13.8448851062533
56.44,13.8430623351952
56.45,13.8412395641371
56.46,13.8394167930791
56.47,13.837594022021
56.48,13.835771250963
56.49,13.8339493049902
56.5,13.8321298290748
56.51,13.8303103531594
56.52,13.8284908772439
56.53,13.8266714013285
56.54,13.824851925413
56.55,13.8230324494976
56.56,13.8212129735822
56.57,13.8193934976667
56.58,13.8175740217513
56.59,13.8157545458358
56.6,13.8139350699204
56.61,13.812115594005
56.62,13.8102985033642
56.63,13.808482336607
56.64,13.8066661698498
56.65,13.8048500030926
56.66,13.8030338363354
56.67,13.8012176695782
56.68,13.799401502821
56.69,13.7975853360638
56.7,13.7957691693066
56.71,13.7939530025494
56.72,13.7921368357922
56.73,13.7903206690349
56.74,13.7885051377354
56.75,13.7866922940539
56.76,13.7848794503723
56.77,13.7830666066908
56.78,13.7812537630093
56.79,13.7794409193277
56.8,13.7776280756462
56.81,13.7758152319646
56.82,13.7740023882831
56.83,13.7721895446015
56.84,13.77037670092
56.85,13.7685638572384
56.86,13.7667510135569
56.87,13.7649403777031
56.88,13.7631308709161
56.89,13.7613213641292
56.9,13.7595118573422
56.91,13.7577023505552
56.92,13.7558928437683
56.93,13.7540833369813
56.94,13.7522738301944
56.95,13.7504643234074
56.96,13.7486548166205
56.97,13.7468453098335
56.98,13.7450358030465
56.99,13.7432267387321
57,13.7414205825599
57.01,13.7396144263877
57.02,13.7378082702155
57.03,13.7360021140433
57.04,13.7341959578711
57.05,13.7323898016989
57.06,13.7305836455267
57.07,13.7287774893545
57.08,13.7269713331823
57.09,13.7251651770101
57.1,13.7233590208379
57.11,13.7215528646657
57.12,13.7197487353541
57.13,13.7179459434178
57.14,13.7161431514815
57.15,13.7143403595452
57.16,13.7125375676089
57.17,13.7107347756726
57.18,13.7089319837363
57.19,13.7071291918
57.2,13.7053263998637
57.21,13.7035236079274
57.22,13.7017208159912
57.23,13.6999180240549
57.24,13.6981154783181
57.25,13.6963160641396
57.26,13.694516649961
57.27,13.6927172357825
57.28,13.6909178216039
57.29,13.6891184074254
57.3,13.6873189932468
57.31,13.6855195790683
57.32,13.6837201648897
57.33,13.6819207507112
57.34,13.6801213365327
57.35,13.6783219223541
57.36,13.6765225081756
57.37,13.6747249364391
57.38,13.6729289134406
57.39,13.6711328904421
57.4,13.6693368674436
57.41,13.6675408444451
57.42,13.6657448214466
57.43,13.6639487984481
57.44,13.6621527754496
57.45,13.6603567524511
57.46,13.6585607294526
57.47,13.6567647064541
57.48,13.6549686834556
57.49,13.6531727071662
57.5,13.6513800886702
57.51,13.6495874701742
57.52,13.6477948516782
57.53,13.6460022331823
57.54,13.6442096146863
57.55,13.6424169961903
57.56,13.6406243776943
57.57,13.6388317591983
57.58,13.6370391407024
57.59,13.6352465222064
57.6,13.6334539037104
57.61,13.6316612852144
57.62,13.6298703213603
57.63,13.6280811205893
57.64,13.6262919198182
57.65,13.6245027190472
57.66,13.6227135182762
57.67,13.6209243175051
57.68,13.6191351167341
57.69,13.6173459159631
57.7,13.615556715192
57.71,13.613767514421
57.72,13.61197831365
57.73,13.6101891128789
57.74,13.6083999121079
57.75,13.6066139862558
57.76,13.6048282163318
57.77,13.6030424464079
57.78,13.6012566764839
57.79,13.5994709065599
57.8,13.5976851366359
57.81,13.5958993667119
57.82,13.594113596788
57.83,13.592327826864
57.84,13.59054205694
57.85,13.588756287016
57.86,13.586970517092
57.87,13.585186210698
57.88,13.5834038846426
57.89,13.5816215585872
57.9,13.5798392325319
