"Time","Right.Hippocampus"
0.549999999999997,2805.25140310008
0.560000000000002,2805.21104024759
0.57,2805.17070077269
0.579999999999998,2805.13036129778
0.590000000000003,2805.09002182288
0.600000000000001,2805.04968234797
0.609999999999999,2805.00934287307
0.619999999999997,2804.96900339816
0.630000000000003,2804.92866392325
0.640000000000001,2804.88832444835
0.649999999999999,2804.84798497344
0.660000000000004,2804.80767772083
0.670000000000002,2804.76737770084
0.68,2804.72707768086
0.689999999999998,2804.68677766087
0.700000000000003,2804.64647764089
0.710000000000001,2804.6061776209
0.719999999999999,2804.56587760092
0.730000000000004,2804.52557758093
0.740000000000002,2804.48527756095
0.75,2804.44498672686
0.759999999999998,2804.40472649128
0.770000000000003,2804.3644662557
0.780000000000001,2804.32420602011
0.789999999999999,2804.28394578453
0.799999999999997,2804.24368554895
0.810000000000002,2804.20342531336
0.82,2804.16316507778
0.829999999999998,2804.1229048422
0.840000000000003,2804.08264460661
0.850000000000001,2804.04241024772
0.859999999999999,2804.00219012497
0.869999999999997,2803.96197000222
0.880000000000003,2803.92174987947
0.890000000000001,2803.88152975671
0.899999999999999,2803.84130963396
0.910000000000004,2803.80108951121
0.920000000000002,2803.76086938846
0.93,2803.72064926571
0.939999999999998,2803.68043154119
0.950000000000003,2803.64025185864
0.960000000000001,2803.60007217609
0.969999999999999,2803.55989249353
0.980000000000004,2803.51971281098
0.990000000000002,2803.47953312843
1,2803.43935344588
1.01,2803.39917376333
1.02,2803.35899408077
1.03,2803.31881439822
1.04,2803.27865401897
1.05,2803.23851510292
1.06,2803.19837618687
1.07,2803.15823727082
1.08,2803.11809835476
1.09,2803.07795943871
1.1,2803.03782052266
1.11,2802.99768160661
1.12,2802.95754269056
1.13,2802.91740377451
1.14,2802.87730133618
1.15,2802.83720351185
1.16,2802.79710568752
1.17,2802.75700786319
1.18,2802.71691003887
1.19,2802.67681221454
1.2,2802.63671439021
1.21,2802.59661656589
1.22,2802.55651874156
1.23,2802.51643342152
1.24,2802.47637701306
1.25,2802.4363206046
1.26,2802.39626419613
