"Time","Right.Cerebral.White.Matter"
21.1,224530.20126185
21.11,224530.210768227
21.12,224530.220274604
21.13,224530.229780981
21.14,224530.239287358
21.15,224530.248793735
21.16,224530.258300111
21.17,224530.267727215
21.18,224530.277060012
21.19,224530.286392809
21.2,224530.295725606
21.21,224530.305058403
21.22,224530.314391201
21.23,224530.323723998
21.24,224530.333056795
21.25,224530.342389592
21.26,224530.351722389
21.27,224530.360906469
21.28,224530.370068503
21.29,224530.379230538
21.3,224530.388392573
21.31,224530.397554607
21.32,224530.406716642
21.33,224530.415878677
21.34,224530.425040711
21.35,224530.434202746
21.36,224530.443316887
21.37,224530.452310938
21.38,224530.461304989
21.39,224530.470299041
21.4,224530.479293092
21.41,224530.488287143
21.42,224530.497281194
21.43,224530.506275245
21.44,224530.515269296
21.45,224530.524263347
21.46,224530.533141841
21.47,224530.541970649
21.48,224530.550799457
21.49,224530.559628265
21.5,224530.568457073
21.51,224530.577285881
21.52,224530.586114689
21.53,224530.594943497
21.54,224530.603772306
21.55,224530.612582662
21.56,224530.62124893
21.57,224530.629915198
21.58,224530.638581466
21.59,224530.647247734
21.6,224530.655914002
21.61,224530.66458027
21.62,224530.673246538
21.63,224530.681912806
21.64,224530.690579073
21.65,224530.699160972
21.66,224530.707667365
21.67,224530.716173758
21.68,224530.724680151
21.69,224530.733186545
21.7,224530.741692938
21.71,224530.750199331
21.72,224530.758705725
21.73,224530.767212118
21.74,224530.775718511
21.75,224530.78407679
21.76,224530.792425937
21.77,224530.800775084
21.78,224530.809124231
21.79,224530.817473378
21.8,224530.825822525
21.81,224530.834171672
21.82,224530.842520819
21.83,224530.850869967
21.84,224530.859164036
21.85,224530.867358529
21.86,224530.875553021
21.87,224530.883747514
21.88,224530.891942007
21.89,224530.9001365
21.9,224530.908330993
21.91,224530.916525486
21.92,224530.924719979
21.93,224530.932914471
21.94,224530.940991796
21.95,224530.949034191
21.96,224530.957076585
21.97,224530.965118979
21.98,224530.973161373
21.99,224530.981203767
22,224530.989246162
22.01,224530.997288556
22.02,224531.00533095
22.03,224531.01334574
22.04,224531.021238555
22.05,224531.029131371
22.06,224531.037024186
22.07,224531.044917001
22.08,224531.052809817
22.09,224531.060702632
22.1,224531.068595447
22.11,224531.076488263
22.12,224531.084381078
22.13,224531.09218582
22.14,224531.099931541
22.15,224531.107677262
22.16,224531.115422983
22.17,224531.123168704
22.18,224531.130914424
22.19,224531.138660145
22.2,224531.146405866
22.21,224531.154151587
22.22,224531.161895433
22.23,224531.169496509
22.24,224531.177097584
22.25,224531.18469866
22.26,224531.192299735
22.27,224531.199900811
22.28,224531.207501886
22.29,224531.215102962
22.3,224531.222704037
22.31,224531.230305113
22.32,224531.237845432
22.33,224531.245304277
22.34,224531.252763122
22.35,224531.260221966
22.36,224531.267680811
22.37,224531.275139656
22.38,224531.2825985
22.39,224531.290057345
22.4,224531.297516189
22.41,224531.304975034
22.42,224531.312316213
22.43,224531.319635207
22.44,224531.326954201
22.45,224531.334273194
22.46,224531.341592188
22.47,224531.348911182
22.48,224531.356230176
22.49,224531.36354917
22.5,224531.370868164
22.51,224531.378152015
22.52,224531.385333505
22.53,224531.392514994
22.54,224531.399696484
22.55,224531.406877973
22.56,224531.414059462
22.57,224531.421240952
22.58,224531.428422441
22.59,224531.435603931
22.6,224531.44278542
22.61,224531.44987636
22.62,224531.456922658
22.63,224531.463968955
22.64,224531.471015253
22.65,224531.47806155
22.66,224531.485107847
22.67,224531.492154145
22.68,224531.499200442
22.69,224531.50624674
22.7,224531.513281874
22.71,224531.520195259
22.72,224531.527108644
22.73,224531.534022028
22.74,224531.540935413
22.75,224531.547848798
22.76,224531.554762182
22.77,224531.561675567
22.78,224531.568588952
22.79,224531.575502337
22.8,224531.582350624
22.81,224531.589133343
22.82,224531.595916061
22.83,224531.60269878
22.84,224531.609481498
22.85,224531.616264217
22.86,224531.623046935
22.87,224531.629829654
22.88,224531.636612372
22.89,224531.643395091
22.9,224531.65006061
22.91,224531.656714876
22.92,224531.663369142
22.93,224531.670023408
22.94,224531.676677674
22.95,224531.68333194
22.96,224531.689986206
22.97,224531.696640473
22.98,224531.703294739
22.99,224531.709907765
23,224531.71643576
23.01,224531.722963756
23.02,224531.729491751
23.03,224531.736019747
23.04,224531.742547742
23.05,224531.749075738
23.06,224531.755603734
23.07,224531.762131729
23.08,224531.768659725
23.09,224531.775095771
23.1,224531.781499646
23.11,224531.787903521
23.12,224531.794307396
23.13,224531.800711271
23.14,224531.807115146
23.15,224531.813519021
23.16,224531.819922896
23.17,224531.826326771
23.18,224531.832711734
23.19,224531.838993607
23.2,224531.84527548
23.21,224531.851557353
23.22,224531.857839226
23.23,224531.864121099
23.24,224531.870402972
23.25,224531.876684845
23.26,224531.882966718
23.27,224531.889248591
23.28,224531.895462206
23.29,224531.901624165
23.3,224531.907786123
23.31,224531.913948082
23.32,224531.92011004
23.33,224531.926271999
23.34,224531.932433957
23.35,224531.938595916
23.36,224531.944757874
23.37,224531.950919833
23.38,224531.956965887
23.39,224531.963009988
23.4,224531.969054089
23.41,224531.975098189
23.42,224531.98114229
23.43,224531.987186391
23.44,224531.993230491
23.45,224531.999274592
23.46,224532.005318693
23.47,224532.011316736
23.48,224532.017245005
23.49,224532.023173274
23.5,224532.029101544
23.51,224532.035029813
23.52,224532.040958082
23.53,224532.046886352
23.54,224532.052814621
23.55,224532.058742891
23.56,224532.06467116
23.57,224532.070507014
23.58,224532.076321448
23.59,224532.082135883
23.6,224532.087950317
23.61,224532.093764751
23.62,224532.099579186
23.63,224532.10539362
23.64,224532.111208055
23.65,224532.117022489
23.66,224532.122811636
23.67,224532.128514203
23.68,224532.134216769
23.69,224532.139919335
23.7,224532.145621901
23.71,224532.151324467
23.72,224532.157027033
23.73,224532.162729599
23.74,224532.168432165
23.75,224532.174134732
23.76,224532.179766915
23.77,224532.18535955
23.78,224532.190952185
23.79,224532.19654482
23.8,224532.202137456
23.81,224532.207730091
23.82,224532.213322726
23.83,224532.218915361
23.84,224532.224507997
23.85,224532.23009475
23.86,224532.235579362
23.87,224532.241063975
23.88,224532.246548588
23.89,224532.252033201
23.9,224532.257517813
23.91,224532.263002426
23.92,224532.268487039
23.93,224532.273971652
23.94,224532.279456265
23.95,224532.284891133
23.96,224532.290269603
23.97,224532.295648073
23.98,224532.301026543
23.99,224532.306405013
24,224532.311783483
24.01,224532.317161953
24.02,224532.322540423
24.03,224532.327918893
24.04,224532.333297363
24.05,224532.338583758
24.06,224532.343857937
24.07,224532.349132116
24.08,224532.354406294
24.09,224532.359680473
24.1,224532.364954652
24.11,224532.370228831
24.12,224532.37550301
24.13,224532.380777189
24.14,224532.386020927
24.15,224532.391192638
24.16,224532.396364349
24.17,224532.40153606
24.18,224532.406707772
24.19,224532.411879483
24.2,224532.417051194
24.21,224532.422222905
24.22,224532.427394616
24.23,224532.432566327
24.24,224532.437666432
24.25,224532.442737472
24.26,224532.447808511
24.27,224532.45287955
24.28,224532.457950589
24.29,224532.463021629
24.3,224532.468092668
24.31,224532.473163707
24.32,224532.478234746
24.33,224532.483293375
24.34,224532.488265511
24.35,224532.493237647
24.36,224532.498209783
24.37,224532.503181919
24.38,224532.508154055
24.39,224532.513126191
24.4,224532.518098327
24.41,224532.523070463
24.42,224532.528042598
24.43,224532.532962297
24.44,224532.537837272
24.45,224532.542712246
24.46,224532.54758722
24.47,224532.552462195
24.48,224532.557337169
24.49,224532.562212143
24.5,224532.567087117
24.51,224532.571962092
24.52,224532.576837066
24.53,224532.581620994
24.54,224532.586400522
24.55,224532.59118005
24.56,224532.595959577
24.57,224532.600739105
24.58,224532.605518632
24.59,224532.61029816
24.6,224532.615077688
24.61,224532.619857215
24.62,224532.62460223
24.63,224532.629288
24.64,224532.63397377
24.65,224532.638659539
