"Time","Right.Cerebellum.Exterior"
-50.72,49675.3297123709
-50.71,49674.4480296804
-50.7,49673.56634699
-50.69,49672.6846642995
-50.68,49671.8029816091
-50.67,49670.9212989186
-50.66,49670.0396162282
-50.65,49669.1579335377
-50.64,49668.2762508472
-50.63,49667.3978297952
-50.62,49666.5312010975
-50.61,49665.6645723998
-50.6,49664.797943702
-50.59,49663.9313150043
-50.58,49663.0646863066
-50.57,49662.1980576088
-50.56,49661.3314289111
-50.55,49660.4648002133
-50.54,49659.5981715156
-50.53,49658.7408574219
-50.52,49657.8889934597
-50.51,49657.0371294974
-50.5,49656.1852655351
-50.49,49655.3334015728
-50.48,49654.4815376105
-50.47,49653.6296736482
-50.46,49652.7778096859
-50.45,49651.9259457237
-50.44,49651.0747345009
-50.43,49650.2373520524
-50.42,49649.3999696039
-50.41,49648.5625871554
-50.4,49647.7252047069
-50.39,49646.8878222584
-50.38,49646.0504398099
-50.37,49645.2130573614
-50.36,49644.3756749129
-50.35,49643.5382924643
-50.34,49642.7074337125
-50.33,49641.8842554571
-50.32,49641.0610772017
-50.31,49640.2378989463
-50.3,49639.4147206909
-50.29,49638.5915424355
-50.28,49637.7683641801
-50.27,49636.9451859247
-50.26,49636.1220076693
-50.25,49635.2988294139
-50.24,49634.4878211163
-50.23,49633.6785755029
-50.22,49632.8693298896
-50.21,49632.0600842762
-50.2,49631.2508386628
-50.19,49630.4415930495
