"Time","Left.Caudate"
-51.64,3322.21592774238
-51.63,3322.22936870955
-51.62,3322.24280967672
-51.61,3322.25625064389
-51.6,3322.26969161106
-51.59,3322.28313695268
-51.58,3322.29663655388
-51.57,3322.31013615507
-51.56,3322.32363575627
-51.55,3322.33713535746
-51.54,3322.35063495865
-51.53,3322.36413455985
-51.52,3322.37763416104
-51.51,3322.39113376223
-51.5,3322.40463336343
-51.49,3322.41816173008
-51.48,3322.43172017899
-51.47,3322.44527862789
-51.46,3322.4588370768
-51.45,3322.47239552571
-51.44,3322.48595397461
-51.43,3322.49951242352
-51.42,3322.51307087243
-51.41,3322.52662932134
-51.4,3322.54018777024
-51.39,3322.55379955314
-51.38,3322.56741706401
-51.37,3322.58103457489
-51.36,3322.59465208576
-51.35,3322.60826959664
-51.34,3322.62188710751
-51.33,3322.63550461839
-51.32,3322.64912212927
-51.31,3322.66273964014
-51.3,3322.67637595498
-51.29,3322.69005274265
-51.28,3322.70372953031
-51.27,3322.71740631797
-51.26,3322.73108310564
-51.25,3322.7447598933
-51.24,3322.75843668096
-51.23,3322.77211346863
-51.22,3322.78579025629
-51.21,3322.79946704396
-51.2,3322.81318734591
-51.19,3322.82692362575
-51.18,3322.84065990558
-51.17,3322.85439618542
-51.16,3322.86813246526
-51.15,3322.8818687451
-51.14,3322.89560502494
-51.13,3322.90934130478
-51.12,3322.92307758461
-51.11,3322.93682256001
-51.1,3322.95061854798
-51.09,3322.96441453594
-51.08,3322.97821052391
-51.07,3322.99200651188
-51.06,3323.00580249984
-51.05,3323.01959848781
-51.04,3323.03339447578
-51.03,3323.04719046374
-51.02,3323.06098645171
-51.01,3323.0748159879
-51,3323.08867190051
-50.99,3323.10252781313
-50.98,3323.11638372574
-50.97,3323.13023963836
-50.96,3323.14409555097
-50.95,3323.15795146359
-50.94,3323.1718073762
-50.93,3323.18566328882
-50.92,3323.19951920143
-50.91,3323.21343369485
-50.9,3323.2273497492
-50.89,3323.24126580355
-50.88,3323.2551818579
-50.87,3323.26909791225
-50.86,3323.28301396661
-50.85,3323.29693002096
-50.84,3323.31084607531
-50.83,3323.32476212966
-50.82,3323.33870161863
-50.81,3323.35267803237
-50.8,3323.36665444612
-50.79,3323.38063085986
-50.78,3323.39460727361
-50.77,3323.40858368735
-50.76,3323.42256010109
-50.75,3323.43653651484
-50.74,3323.45051292858
-50.73,3323.46448934233
-50.72,3323.47851436701
-50.71,3323.49255135837
-50.7,3323.50658834973
-50.69,3323.52062534109
-50.68,3323.53466233245
-50.67,3323.54869932381
-50.66,3323.56273631517
-50.65,3323.57677330653
-50.64,3323.5908102979
-50.63,3323.60486046157
-50.62,3323.61895824934
-50.61,3323.63305603711
-50.6,3323.64715382489
-50.59,3323.66125161266
-50.58,3323.67534940043
-50.57,3323.6894471882
-50.56,3323.70354497597
-50.55,3323.71764276375
-50.54,3323.73174055152
-50.53,3323.74587683221
-50.52,3323.76003563575
-50.51,3323.7741944393
-50.5,3323.78835324284
-50.49,3323.80251204639
-50.48,3323.81667084993
-50.47,3323.83082965348
-50.46,3323.84498845703
-50.45,3323.85914726057
-50.44,3323.87330882425
-50.43,3323.8875288635
-50.42,3323.90174890275
-50.41,3323.91596894201
-50.4,3323.93018898126
-50.39,3323.94440902051
-50.38,3323.95862905976
-50.37,3323.97284909901
-50.36,3323.98706913826
-50.35,3324.00128917751
-50.34,3324.01553744235
-50.33,3324.02981893781
-50.32,3324.04410043327
-50.31,3324.05838192873
-50.3,3324.07266342419
-50.29,3324.08694491965
-50.28,3324.10122641511
-50.27,3324.11550791057
-50.26,3324.12978940603
-50.25,3324.14407090149
-50.24,3324.15840627114
-50.23,3324.17274944388
-50.22,3324.18709261663
-50.21,3324.20143578937
-50.2,3324.21577896211
-50.19,3324.23012213485
-50.18,3324.24446530759
-50.17,3324.25880848033
-50.16,3324.27315165307
-50.15,3324.28751263358
-50.14,3324.30191770524
-50.13,3324.31632277691
-50.12,3324.33072784858
-50.11,3324.34513292024
-50.1,3324.35953799191
-50.09,3324.37394306358
-50.08,3324.38834813525
-50.07,3324.40275320691
-50.06,3324.41715827858
-50.05,3324.43160695287
-50.04,3324.44607414568
-50.03,3324.46054133848
-50.02,3324.47500853129
-50.01,3324.4894757241
-50,3324.50394291691
-49.99,3324.51841010972
-49.98,3324.53287730253
-49.97,3324.54734449534
-49.96,3324.56181892642
-49.95,3324.57634846315
-49.94,3324.59087799989
-49.93,3324.60540753663
-49.92,3324.61993707337
-49.91,3324.63446661011
-49.9,3324.64899614684
-49.89,3324.66352568358
-49.88,3324.67805522032
-49.87,3324.69258475706
-49.86,3324.70714747372
-49.85,3324.72173957775
-49.84,3324.73633168177
-49.83,3324.7509237858
-49.82,3324.76551588983
-49.81,3324.78010799385
-49.8,3324.79470009788
-49.79,3324.8092922019
-49.78,3324.82388430593
-49.77,3324.83847640996
-49.76,3324.85312782114
-49.75,3324.86778271639
-49.74,3324.88243761163
-49.73,3324.89709250688
-49.72,3324.91174740213
-49.71,3324.92640229737
-49.7,3324.94105719262
-49.69,3324.95571208786
-49.68,3324.97036698311
-49.67,3324.98504448331
-49.66,3324.99976239428
-49.65,3325.01448030525
-49.64,3325.02919821622
-49.63,3325.04391612719
-49.62,3325.05863403816
-49.61,3325.07335194914
-49.6,3325.08806986011
-49.59,3325.10278777108
-49.58,3325.11750568205
-49.57,3325.13227247341
-49.56,3325.14705362518
-49.55,3325.16183477696
-49.54,3325.17661592873
-49.53,3325.19139708051
-49.52,3325.20617823228
-49.51,3325.22095938406
-49.5,3325.23574053583
-49.49,3325.25052168761
-49.48,3325.26531471589
-49.47,3325.28015933412
-49.46,3325.29500395235
-49.45,3325.30984857058
-49.44,3325.32469318881
-49.43,3325.33953780704
-49.42,3325.35438242527
-49.41,3325.3692270435
-49.4,3325.38407166173
-49.39,3325.39891627996
-49.38,3325.4137991989
-49.37,3325.42870750981
-49.36,3325.44361582072
-49.35,3325.45852413163
-49.34,3325.47343244254
-49.33,3325.48834075345
-49.32,3325.50324906436
-49.31,3325.51815737527
-49.3,3325.53306568619
-49.29,3325.54797499052
-49.28,3325.56294722091
-49.27,3325.5779194513
-49.26,3325.59289168169
-49.25,3325.60786391209
-49.24,3325.62283614248
-49.23,3325.63780837287
-49.22,3325.65278060326
-49.21,3325.66775283365
-49.2,3325.68272506404
-49.19,3325.69772486138
-49.18,3325.71276123863
-49.17,3325.72779761587
-49.16,3325.74283399312
-49.15,3325.75787037037
-49.14,3325.77290674762
-49.13,3325.78794312486
-49.12,3325.80297950211
-49.11,3325.81801587936
-49.1,3325.8330522566
-49.09,3325.84814296317
-49.08,3325.86324371522
-49.07,3325.87834446727
-49.06,3325.89344521932
-49.05,3325.90854597138
-49.04,3325.92364672343
-49.03,3325.93874747548
-49.02,3325.95384822753
-49.01,3325.96894897958
-49,3325.98406640955
-48.99,3325.99923176494
-48.98,3326.01439712032
-48.97,3326.0295624757
-48.96,3326.04472783108
-48.95,3326.05989318647
-48.94,3326.07505854185
-48.93,3326.09022389723
-48.92,3326.10538925261
-48.91,3326.120554608
-48.9,3326.1357635544
-48.89,3326.15099374221
-48.88,3326.16622393003
-48.87,3326.18145411784
-48.86,3326.19668430565
-48.85,3326.21191449347
-48.84,3326.22714468128
-48.83,3326.2423748691
-48.82,3326.25760505691
-48.81,3326.27284087715
-48.8,3326.28813612708
-48.79,3326.303431377
-48.78,3326.31872662692
-48.77,3326.33402187684
-48.76,3326.34931712677
-48.75,3326.36461237669
-48.74,3326.37990762661
-48.73,3326.39520287653
-48.72,3326.41049812645
-48.71,3326.4258260732
-48.7,3326.44118661549
-48.69,3326.45654715777
-48.68,3326.47190770005
-48.67,3326.48726824234
-48.66,3326.50262878462
-48.65,3326.5179893269
-48.64,3326.53334986919
-48.63,3326.54871041147
-48.62,3326.56407095375
-48.61,3326.57949144854
-48.6,3326.59491751401
-48.59,3326.61034357949
-48.58,3326.62576964496
-48.57,3326.64119571043
-48.56,3326.65662177591
-48.55,3326.67204784138
-48.54,3326.68747390686
-48.53,3326.70289997233
-48.52,3326.71834768337
-48.51,3326.73383950344
-48.5,3326.74933132351
-48.49,3326.76482314358
-48.48,3326.78031496365
-48.47,3326.79580678373
-48.46,3326.8112986038
-48.45,3326.82679042387
-48.44,3326.84228224394
-48.43,3326.85777406401
-48.42,3326.87331493803
-48.41,3326.88887274468
-48.4,3326.90443055134
-48.39,3326.91998835799
-48.38,3326.93554616464
-48.37,3326.9511039713
-48.36,3326.96666177795
-48.35,3326.9822195846
-48.34,3326.99777739126
-48.33,3327.01334563394
-48.32,3327.02896965974
-48.31,3327.04459368553
-48.3,3327.06021771133
-48.29,3327.07584173713
-48.28,3327.09146576292
-48.27,3327.10708978872
-48.26,3327.12271381452
-48.25,3327.13833784032
-48.24,3327.15396186611
-48.23,3327.16962388959
-48.22,3327.18531436767
-48.21,3327.20100484575
-48.2,3327.21669532383
-48.19,3327.23238580191
-48.18,3327.24807627999
-48.17,3327.26376675807
-48.16,3327.27945723615
