"Time","Left.Amygdala"
23.95,833.092483357884
23.96,833.064401638765
23.97,833.036319919646
23.98,833.008238200526
23.99,832.980156481407
24,832.952074762288
24.01,832.923993043169
24.02,832.895911324049
24.03,832.86782960493
24.04,832.839747885811
24.05,832.811656536424
24.06,832.783563909336
24.07,832.755471282248
24.08,832.727378655159
24.09,832.699286028071
24.1,832.671193400983
24.11,832.643100773895
24.12,832.615008146806
24.13,832.586915519718
24.14,832.558819635694
24.15,832.530716045114
24.16,832.502612454533
24.17,832.474508863952
24.18,832.446405273372
24.19,832.418301682791
24.2,832.39019809221
24.21,832.36209450163
24.22,832.333990911049
24.23,832.305887320468
24.24,832.277775892276
24.25,832.249661282617
24.26,832.221546672959
24.27,832.193432063301
24.28,832.165317453643
24.29,832.137202843985
24.3,832.109088234327
24.31,832.080973624669
24.32,832.05285901501
24.33,832.024743015671
24.34,831.996617331288
24.35,831.968491646905
24.36,831.940365962523
24.37,831.91224027814
24.38,831.884114593757
24.39,831.855988909375
24.4,831.827863224992
24.41,831.799737540609
24.42,831.771611856227
24.43,831.743480164884
24.44,831.715343350067
24.45,831.68720653525
24.46,831.659069720434
24.47,831.630932905617
24.48,831.602796090801
24.49,831.574659275984
24.5,831.546522461167
24.51,831.518385646351
24.52,831.490248831534
24.53,831.462101346268
24.54,831.433953345245
24.55,831.405805344222
24.56,831.3776573432
24.57,831.349509342177
24.58,831.321361341154
24.59,831.293213340132
24.6,831.265065339109
24.61,831.236917338086
24.62,831.208765198877
24.63,831.180605955814
24.64,831.15244671275
24.65,831.124287469686
24.66,831.096128226622
24.67,831.067968983558
24.68,831.039809740495
24.69,831.011650497431
24.7,830.983491254367
24.71,830.955332011303
24.72,830.927163929807
24.73,830.898993388803
24.74,830.8708228478
24.75,830.842652306796
24.76,830.814481765793
24.77,830.78631122479
24.78,830.758140683786
24.79,830.729970142783
24.8,830.701799601779
24.81,830.673626829615
24.82,830.64544493471
24.83,830.617263039805
24.84,830.5890811449
24.85,830.560899249995
24.86,830.53271735509
24.87,830.504535460185
24.88,830.476353565279
24.89,830.448171670374
24.9,830.419989775469
24.91,830.391800912337
24.92,830.363607607504
24.93,830.335414302671
24.94,830.307220997838
24.95,830.279027693005
24.96,830.250834388172
24.97,830.222641083339
24.98,830.194447778506
24.99,830.166254473673
25,830.138060883087
25.01,830.109856112235
25.02,830.081651341384
25.03,830.053446570533
25.04,830.025241799682
25.05,829.997037028831
25.06,829.96883225798
25.07,829.940627487128
25.08,829.912422716277
25.09,829.884217945426
25.1,829.856008114872
25.11,829.827791821847
25.12,829.799575528823
25.13,829.771359235798
25.14,829.743142942774
25.15,829.714926649749
25.16,829.686710356724
25.17,829.6584940637
25.18,829.630277770675
25.19,829.602061477651
25.2,829.573835304399
25.21,829.545607432981
25.22,829.517379561563
25.23,829.489151690145
25.24,829.460923818727
25.25,829.432695947309
25.26,829.404468075891
