"Time","Left.Inf.Lat.Vent"
-28.03,1359.61666200526
-28.02,1359.68637787701
-28.01,1359.75609374875
-28,1359.82592978905
-27.99,1359.89576964861
-27.98,1359.96560950817
-27.97,1360.03544936773
-27.96,1360.10528922729
-27.95,1360.17512908685
-27.94,1360.24496894641
-27.93,1360.31480880598
-27.92,1360.38464866554
-27.91,1360.45453609915
-27.9,1360.52450004267
-27.89,1360.59446398619
-27.88,1360.66442792971
-27.87,1360.73439187323
-27.86,1360.80435581675
-27.85,1360.87431976027
-27.84,1360.94428370379
-27.83,1361.01424764731
-27.82,1361.08421159083
-27.81,1361.15427458115
-27.8,1361.22436270451
-27.79,1361.29445082786
-27.78,1361.36453895121
-27.77,1361.43462707456
-27.76,1361.50471519791
-27.75,1361.57480332127
-27.74,1361.64489144462
-27.73,1361.71497956797
-27.72,1361.78509401453
-27.71,1361.85530641331
-27.7,1361.9255188121
-27.69,1361.99573121088
-27.68,1362.06594360967
-27.67,1362.13615600845
-27.66,1362.20636840724
-27.65,1362.27658080602
-27.64,1362.34679320481
-27.63,1362.41700560359
-27.62,1362.48729586084
-27.61,1362.55763263039
-27.6,1362.62796939994
-27.59,1362.69830616948
-27.58,1362.76864293903
-27.57,1362.83897970857
-27.56,1362.90931647812
-27.55,1362.97965324766
-27.54,1363.04999001721
-27.53,1363.12033179336
-27.52,1363.19079302872
-27.51,1363.26125426408
-27.5,1363.33171549944
-27.49,1363.4021767348
-27.48,1363.47263797016
-27.47,1363.54309920552
-27.46,1363.61356044088
-27.45,1363.68402167624
-27.44,1363.7544829116
-27.43,1363.82500075108
-27.42,1363.89558654703
-27.41,1363.96617234299
-27.4,1364.03675813894
-27.39,1364.1073439349
-27.38,1364.17792973085
-27.37,1364.24851552681
-27.36,1364.31910132276
-27.35,1364.38968711872
-27.34,1364.46027291467
-27.33,1364.53096699054
-27.32,1364.60167744159
-27.31,1364.67238789264
-27.3,1364.7430983437
-27.29,1364.81380879475
-27.28,1364.8845192458
-27.27,1364.95522969685
-27.26,1365.02594014791
-27.25,1365.09665059896
-27.24,1365.16739633432
-27.23,1365.2382315347
-27.22,1365.30906673508
-27.21,1365.37990193546
-27.2,1365.45073713584
-27.19,1365.52157233622
-27.18,1365.5924075366
-27.17,1365.66324273698
-27.16,1365.73407793736
-27.15,1365.80491313774
-27.14,1365.87583535979
-27.13,1365.94679540344
-27.12,1366.0177554471
-27.11,1366.08871549075
-27.1,1366.15967553441
-27.09,1366.23063557806
-27.08,1366.30159562172
-27.07,1366.37255566537
-27.06,1366.44351570902
-27.05,1366.51448965229
