"Time","Right.Pallidum"
-50.5,1342.62779445299
-50.49,1342.62779445299
-50.48,1342.62779445299
-50.47,1342.62779445299
-50.46,1342.62779445299
-50.45,1342.62779445299
-50.44,1342.62779445299
-50.43,1342.62779445299
-50.42,1342.62779445299
-50.41,1342.62779445299
-50.4,1342.62779445299
-50.39,1342.62779445299
-50.38,1342.62779445299
-50.37,1342.62779445299
-50.36,1342.62779445299
-50.35,1342.62779445299
-50.34,1342.62779445299
-50.33,1342.62779445299
-50.32,1342.62779445299
-50.31,1342.62779445299
-50.3,1342.62779445299
-50.29,1342.62779445299
-50.28,1342.62779445299
-50.27,1342.62779445299
-50.26,1342.62779445299
-50.25,1342.62779445299
-50.24,1342.62779445299
-50.23,1342.62779445299
-50.22,1342.62779445299
-50.21,1342.62779445299
-50.2,1342.62779445299
