"Time","Right.Cerebellum.White.Matter"
-47.82,15813.8022579802
-47.81,15813.9577719358
-47.8,15814.1132858913
-47.79,15814.2687998469
-47.78,15814.4243138024
-47.77,15814.5798277579
-47.76,15814.7353417135
-47.75,15814.890849523
-47.74,15815.0463539177
-47.73,15815.2018583124
-47.72,15815.3573627071
-47.71,15815.5128671017
-47.7,15815.6683714964
-47.69,15815.8238758911
-47.68,15815.9793802858
-47.67,15816.1348846805
-47.66,15816.2903885764
-47.65,15816.4458842265
-47.64,15816.6013798766
-47.63,15816.7568755267
-47.62,15816.9123711768
-47.61,15817.0678668269
-47.6,15817.223362477
-47.59,15817.3788581271
-47.58,15817.5343537772
-47.57,15817.6898494273
-47.56,15817.8453413412
-47.55,15818.0008290629
-47.54,15818.1563167845
-47.53,15818.3118045062
-47.52,15818.4672922278
-47.51,15818.6227799495
-47.5,15818.7782676711
-47.49,15818.9337553928
-47.48,15819.0892431144
-47.47,15819.2447308361
-47.46,15819.40021226
-47.45,15819.5556928692
-47.44,15819.7111734784
-47.43,15819.8666540877
-47.42,15820.0221346969
-47.41,15820.1776153061
-47.4,15820.3330959153
-47.39,15820.4885765245
-47.38,15820.6440571337
-47.37,15820.7995358561
-47.36,15820.9550101688
-47.35,15821.1104844815
-47.34,15821.2659587941
-47.33,15821.4214331068
-47.32,15821.5769074195
-47.31,15821.7323817321
-47.3,15821.8878560448
-47.29,15822.0433303574
-47.28,15822.1988046701
-47.27,15822.3542750703
-47.26,15822.5097439022
-47.25,15822.6652127341
-47.24,15822.820681566
-47.23,15822.976150398
-47.22,15823.1316192299
-47.21,15823.2870880618
-47.2,15823.4425568937
-47.19,15823.5980257256
-47.18,15823.7534939601
-47.17,15823.908958127
-47.16,15824.0644222939
-47.15,15824.2198864607
-47.14,15824.3753506276
-47.13,15824.5308147945
-47.12,15824.6862789614
-47.11,15824.8417431283
-47.1,15824.9972072951
-47.09,15825.152671462
-47.08,15825.3081335415
-47.07,15825.463593859
-47.06,15825.6190541764
-47.05,15825.7745144939
-47.04,15825.9299748114
-47.03,15826.0854351289
-47.02,15826.2408954463
-47.01,15826.3963557638
-47,15826.5518160813
-46.99,15826.7072763988
-46.98,15826.8627338145
-46.97,15827.0181910981
-46.96,15827.1736483818
-46.95,15827.3291056655
