"Time","Left.Cortex"
-31.78,254609.073000059
-31.77,254607.079699552
-31.76,254605.086399045
-31.75,254603.093098538
-31.74,254601.101350925
-31.73,254599.109955397
-31.72,254597.118559869
-31.71,254595.127164341
-31.7,254593.135768814
-31.69,254591.144373286
-31.68,254589.152977758
-31.67,254587.16158223
-31.66,254585.170186703
-31.65,254583.179225755
-31.64,254581.189724797
-31.63,254579.20022384
-31.62,254577.210722882
-31.61,254575.221221925
-31.6,254573.231720967
-31.59,254571.24222001
-31.58,254569.252719053
-31.57,254567.263218095
-31.56,254565.273717138
-31.55,254563.28542882
-31.54,254561.29781205
-31.53,254559.310195281
-31.52,254557.322578511
-31.51,254555.334961741
-31.5,254553.347344972
-31.49,254551.359728202
-31.48,254549.372111433
-31.47,254547.384494663
-31.46,254545.396986188
-31.45,254543.411243249
-31.44,254541.425500311
-31.43,254539.439757373
-31.42,254537.454014435
-31.41,254535.468271497
-31.4,254533.482528558
-31.39,254531.49678562
-31.38,254529.511042682
-31.37,254527.525299744
-31.36,254525.540436375
-31.35,254523.556556938
-31.34,254521.572677501
-31.33,254519.588798063
-31.32,254517.604918626
-31.31,254515.621039189
-31.3,254513.637159751
-31.29,254511.653280314
-31.28,254509.669400877
-31.27,254507.685521439
-31.26,254505.703284312
-31.25,254503.721258071
-31.24,254501.73923183
-31.23,254499.757205589
-31.22,254497.775179348
-31.21,254495.793153107
-31.2,254493.811126865
-31.19,254491.829100624
-31.18,254489.847074383
-31.17,254487.865601773
-31.16,254485.885418449
-31.15,254483.905235124
-31.14,254481.9250518
-31.13,254479.944868476
-31.12,254477.964685152
-31.11,254475.984501828
-31.1,254474.004318504
-31.09,254472.02413518
-31.08,254470.043951856
-31.07,254468.065078181
-31.06,254466.086727521
-31.05,254464.10837686
-31.04,254462.130026199
-31.03,254460.151675539
-31.02,254458.173324878
-31.01,254456.194974217
-31,254454.216623557
-30.99,254452.238272896
-30.98,254450.260157004
-30.97,254448.283628778
-30.96,254446.307100553
-30.95,254444.330572327
-30.94,254442.354044101
-30.93,254440.377515876
-30.92,254438.40098765
-30.91,254436.424459425
-30.9,254434.447931199
-30.89,254432.471402973
-30.88,254430.495858838
-30.87,254428.521142845
-30.86,254426.546426851
-30.85,254424.571710857
-30.84,254422.596994864
-30.83,254420.62227887
-30.82,254418.647562876
-30.81,254416.672846883
-30.8,254414.698130889
-30.79,254412.723414895
-30.78,254410.750423886
-30.77,254408.777509946
-30.76,254406.804596006
-30.75,254404.831682066
-30.74,254402.858768126
-30.73,254400.885854186
-30.72,254398.912940246
-30.71,254396.940026306
-30.7,254394.967112366
-30.69,254392.994864006
-30.68,254391.023741967
-30.67,254389.052619927
-30.66,254387.081497887
-30.65,254385.110375848
-30.64,254383.139253808
-30.63,254381.168131769
-30.62,254379.197009729
-30.61,254377.225887689
-30.6,254375.25476565
-30.59,254373.285043448
-30.58,254371.31570318
