"Time","CSF"
-20.33,2333.1145479704
-20.32,2333.1329090514
-20.31,2333.1512701324
-20.3,2333.1696312134
-20.29,2333.1879922944
-20.28,2333.2063533754
-20.27,2333.2247144564
-20.26,2333.2430755374
-20.25,2333.2614366184
-20.24,2333.27979236957
-20.23,2333.29814319803
-20.22,2333.31649402649
-20.21,2333.33484485494
-20.2,2333.3531956834
-20.19,2333.37154651185
-20.18,2333.38989734031
-20.17,2333.40824816876
-20.16,2333.42659899722
-20.15,2333.44494982567
-20.14,2333.46329116388
-20.13,2333.48163183213
-20.12,2333.49997250037
-20.11,2333.51831316861
-20.1,2333.53665383686
-20.09,2333.5549945051
-20.08,2333.57333517335
-20.07,2333.59167584159
-20.06,2333.61001650983
-20.05,2333.62835367173
-20.04,2333.64668427195
-20.03,2333.66501487217
-20.02,2333.68334547239
-20.01,2333.70167607261
-20,2333.72000667283
-19.99,2333.73833727305
-19.98,2333.75666787327
-19.97,2333.77499847349
-19.96,2333.79332907371
-19.95,2333.81165206753
-19.94,2333.82997269177
-19.93,2333.848293316
-19.92,2333.86661394024
-19.91,2333.88493456448
-19.9,2333.90325518871
-19.89,2333.92157581295
-19.88,2333.93989643719
-19.87,2333.95821706142
-19.86,2333.97653593937
-19.85,2333.99484667952
-19.84,2334.01315741967
-19.83,2334.03146815982
-19.82,2334.04977889997
-19.81,2334.06808964012
-19.8,2334.08640038027
-19.79,2334.10471112042
-19.78,2334.12302186057
-19.77,2334.14133260072
-19.76,2334.15963755476
-19.75,2334.17793850258
-19.74,2334.19623945039
-19.73,2334.21454039821
-19.72,2334.23284134603
-19.71,2334.25114229385
-19.7,2334.26944324167
-19.69,2334.28774418949
-19.68,2334.3060451373
-19.67,2334.32434603576
-19.66,2334.34263728286
-19.65,2334.36092852996
-19.64,2334.37921977706
-19.63,2334.39751102416
-19.62,2334.41580227126
-19.61,2334.43409351836
-19.6,2334.45238476546
-19.59,2334.47067601256
-19.58,2334.48896725965
-19.57,2334.50725447765
-19.56,2334.52553611551
-19.55,2334.54381775336
-19.54,2334.56209939121
-19.53,2334.58038102906
-19.52,2334.59866266691
-19.51,2334.61694430477
-19.5,2334.63522594262
-19.49,2334.65350758047
-19.48,2334.67178921832
-19.47,2334.690062923
-19.46,2334.70833504294
-19.45,2334.72660716287
-19.44,2334.74487928281
-19.43,2334.76315140275
-19.42,2334.78142352269
-19.41,2334.79969564263
-19.4,2334.81796776256
-19.39,2334.8362398825
-19.38,2334.85450966739
-19.37,2334.87277236062
-19.36,2334.89103505384
-19.35,2334.90929774706
-19.34,2334.92756044028
-19.33,2334.9458231335
-19.32,2334.96408582672
-19.31,2334.98234851994
-19.3,2335.00061121316
-19.29,2335.01887390638
-19.28,2335.03713042023
