"Time","Right.Amygdala"
0.469999999999999,936.538757351164
0.480000000000004,936.51562843273
0.490000000000002,936.492499514296
0.5,936.469370595863
0.509999999999998,936.446241677429
0.520000000000003,936.423112758995
0.530000000000001,936.399983840561
0.539999999999999,936.376854922127
0.549999999999997,936.353726003694
0.560000000000002,936.330601768243
0.57,936.30748448511
0.579999999999998,936.284367201977
0.590000000000003,936.261249918844
0.600000000000001,936.238132635711
0.609999999999999,936.215015352578
0.619999999999997,936.191898069445
0.630000000000003,936.168780786312
0.640000000000001,936.145663503179
0.649999999999999,936.122546220046
0.660000000000004,936.099438395354
0.670000000000002,936.076332693708
0.68,936.053226992062
0.689999999999998,936.030121290415
0.700000000000003,936.007015588769
0.710000000000001,935.983909887123
0.719999999999999,935.960804185476
0.730000000000004,935.93769848383
0.740000000000002,935.914592782184
0.75,935.891489742202
0.759999999999998,935.868395568303
0.770000000000003,935.845301394404
0.780000000000001,935.822207220506
0.789999999999999,935.799113046607
0.799999999999997,935.776018872709
0.810000000000002,935.75292469881
0.82,935.729830524912
0.829999999999998,935.706736351013
0.840000000000003,935.683642177114
0.850000000000001,935.66055540512
0.859999999999999,935.637472705304
0.869999999999997,935.614390005489
0.880000000000003,935.591307305674
0.890000000000001,935.568224605859
0.899999999999999,935.545141906044
0.910000000000004,935.522059206229
0.920000000000002,935.498976506413
0.93,935.475893806598
0.939999999999998,935.452811784055
0.950000000000003,935.429740504733
0.960000000000001,935.406669225412
0.969999999999999,935.38359794609
0.980000000000004,935.360526666768
0.990000000000002,935.337455387446
1,935.314384108124
1.01,935.291312828803
1.02,935.268241549481
1.03,935.245170270159
1.04,935.222104373202
1.05,935.199044460857
1.06,935.175984548513
1.07,935.152924636168
1.08,935.129864723824
1.09,935.106804811479
1.1,935.083744899134
1.11,935.06068498679
1.12,935.037625074445
1.13,935.0145651621
1.14,934.991515292945
1.15,934.968466694135
1.16,934.945418095325
1.17,934.922369496515
1.18,934.899320897705
1.19,934.876272298895
1.2,934.853223700085
1.21,934.830175101275
1.22,934.807126502465
1.23,934.784081303327
1.24,934.761043964682
1.25,934.738006626037
1.26,934.714969287392
1.27,934.691931948747
1.28,934.668894610102
1.29,934.645857271458
1.3,934.622819932813
1.31,934.599782594168
1.32,934.576745255523
1.33,934.553715942407
1.34,934.530689810631
1.35,934.507663678854
1.36,934.484637547078
1.37,934.461611415302
1.38,934.438585283526
1.39,934.415559151749
1.4,934.392533019973
1.41,934.369506888197
1.42,934.346482210092
1.43,934.32346723196
1.44,934.300452253828
1.45,934.277437275696
1.46,934.254422297565
1.47,934.231407319433
1.48,934.208392341301
