"Time","Brain.Stem"
21.6,18895.9545182832
21.61,18895.9714168754
21.62,18895.9883154675
21.63,18896.0052140597
21.64,18896.0221126519
21.65,18896.0390930429
21.66,18896.0561466382
21.67,18896.0732002335
21.68,18896.0902538288
21.69,18896.1073074241
21.7,18896.1243610195
21.71,18896.1414146148
21.72,18896.1584682101
21.73,18896.1755218054
21.74,18896.1925754007
21.75,18896.2097768001
21.76,18896.2269873117
21.77,18896.2441978232
21.78,18896.2614083348
21.79,18896.2786188464
21.8,18896.2958293579
21.81,18896.3130398695
21.82,18896.3302503811
21.83,18896.3474608927
21.84,18896.3647279785
21.85,18896.382097346
21.86,18896.3994667136
21.87,18896.4168360812
21.88,18896.4342054487
21.89,18896.4515748163
21.9,18896.4689441838
21.91,18896.4863135514
21.92,18896.503682919
21.93,18896.5210522865
21.94,18896.5385455424
21.95,18896.5560757327
21.96,18896.573605923
21.97,18896.5911361133
21.98,18896.6086663036
21.99,18896.6261964939
22,18896.6437266842
22.01,18896.6612568745
22.02,18896.6787870648
22.03,18896.6963473024
22.04,18896.7140403096
22.05,18896.7317333169
22.06,18896.7494263241
22.07,18896.7671193313
22.08,18896.7848123385
22.09,18896.8025053457
22.1,18896.8201983529
22.11,18896.8378913601
22.12,18896.8555843673
22.13,18896.8733760722
22.14,18896.8912339184
22.15,18896.9090917645
22.16,18896.9269496107
22.17,18896.9448074569
22.18,18896.962665303
22.19,18896.9805231492
22.2,18896.9983809954
22.21,18897.0162388415
22.22,18897.0340988502
22.23,18897.0521235857
22.24,18897.0701483211
22.25,18897.0881730566
22.26,18897.106197792
22.27,18897.1242225275
22.28,18897.1422472629
22.29,18897.1602719983
22.3,18897.1782967338
22.31,18897.1963214692
22.32,18897.2144183818
22.33,18897.2326120856
22.34,18897.2508057894
22.35,18897.2689994932
22.36,18897.287193197
22.37,18897.3053869008
22.38,18897.3235806046
22.39,18897.3417743084
22.4,18897.3599680122
22.41,18897.378161716
22.42,18897.3964993584
22.43,18897.4148641389
22.44,18897.4332289193
22.45,18897.4515936997
22.46,18897.4699584801
22.47,18897.4883232605
22.48,18897.5066880409
22.49,18897.5250528213
22.5,18897.5434176017
22.51,18897.5618266514
