"Time","Right.Accumbens.Area"
27.01,283.581494800527
27.02,283.579149337019
27.03,283.57680965331
27.04,283.5744699696
27.05,283.572130285891
27.06,283.569790602181
27.07,283.567450918472
27.08,283.565111234762
27.09,283.562771551053
27.1,283.560431867343
27.11,283.55809503765
27.12,283.555776118553
27.13,283.553457199456
27.14,283.551138280359
27.15,283.548819361262
27.16,283.546500442165
27.17,283.544181523068
27.18,283.541862603971
27.19,283.539543684874
27.2,283.537224765777
27.21,283.534917235688
27.22,283.532618961876
27.23,283.530320688063
27.24,283.528022414251
27.25,283.525724140439
27.26,283.523425866626
27.27,283.521127592814
27.28,283.518829319001
27.29,283.516531045189
27.3,283.514232771377
27.31,283.511954322617
27.32,283.509676574662
27.33,283.507398826707
27.34,283.505121078752
27.35,283.502843330797
27.36,283.500565582842
27.37,283.498287834887
27.38,283.496010086932
27.39,283.493732338977
27.4,283.49146234672
27.41,283.489205005106
27.42,283.486947663493
27.43,283.48469032188
27.44,283.482432980267
27.45,283.480175638654
27.46,283.47791829704
27.47,283.475660955427
27.48,283.473403613814
27.49,283.471146272201
27.5,283.468905043718
27.51,283.466667988853
27.52,283.464430933989
27.53,283.462193879124
27.54,283.459956824259
27.55,283.457719769394
27.56,283.45548271453
27.57,283.453245659665
27.58,283.4510086048
27.59,283.448775754257
27.6,283.446558866481
27.61,283.444341978705
27.62,283.442125090929
27.63,283.439908203152
27.64,283.437691315376
27.65,283.4354744276
27.66,283.433257539824
27.67,283.431040652047
27.68,283.428823764271
27.69,283.426619359594
27.7,283.42442251919
27.71,283.422225678786
27.72,283.420028838382
27.73,283.417831997978
27.74,283.415635157574
27.75,283.41343831717
27.76,283.411241476766
27.77,283.409044636363
27.78,283.406848531003
27.79,283.40467161821
27.8,283.402494705416
27.81,283.400317792623
27.82,283.39814087983
27.83,283.395963967037
27.84,283.393787054244
27.85,283.391610141451
27.86,283.389433228658
27.87,283.387256315864
27.88,283.385088338205
27.89,283.382931233226
27.9,283.380774128247
27.91,283.378617023268
27.92,283.37645991829
27.93,283.374302813311
27.94,283.372145708332
27.95,283.369988603353
27.96,283.367831498374
27.97,283.365674393395
27.98,283.363534324378
27.99,283.361396907392
28,283.359259490406
28.01,283.357122073421
28.02,283.354984656435
28.03,283.352847239449
28.04,283.350709822464
28.05,283.348572405478
28.06,283.346434988492
28.07,283.344303040859
28.08,283.342185192031
28.09,283.340067343203
28.1,283.337949494375
28.11,283.335831645548
28.12,283.33371379672
28.13,283.331595947892
28.14,283.329478099064
28.15,283.327360250237
28.16,283.325242401409
28.17,283.323138044042
28.18,283.321039643533
28.19,283.318941243024
28.2,283.316842842515
28.21,283.314744442006
28.22,283.312646041497
28.23,283.310547640988
28.24,283.308449240479
28.25,283.30635083997
28.26,283.304254525275
28.27,283.302175453251
28.28,283.300096381228
28.29,283.298017309205
28.3,283.295938237182
28.31,283.293859165159
28.32,283.291780093136
28.33,283.289701021112
28.34,283.287621949089
28.35,283.285542877066
28.36,283.283473834266
28.37,283.281413970912
28.38,283.279354107558
28.39,283.277294244204
28.4,283.27523438085
28.41,283.273174517496
28.42,283.271114654142
28.43,283.269054790788
28.44,283.266994927434
28.45,283.26493506408
28.46,283.262893074125
28.47,283.26085229965
28.48,283.258811525175
28.49,283.256770750699
28.5,283.254729976224
28.51,283.252689201749
28.52,283.250648427273
28.53,283.248607652798
28.54,283.246566878323
28.55,283.244532753112
28.56,283.242510947761
28.57,283.24048914241
28.58,283.238467337059
28.59,283.236445531708
28.6,283.234423726357
28.61,283.232401921005
28.62,283.230380115654
28.63,283.228358310303
28.64,283.226336504952
28.65,283.224329114439
28.66,283.222326158504
28.67,283.220323202568
28.68,283.218320246633
28.69,283.216317290698
28.7,283.214314334762
28.71,283.212311378827
28.72,283.210308422892
28.73,283.208305466957
28.74,283.206305862567
28.75,283.204321636394
28.76,283.202337410222
28.77,283.20035318405
28.78,283.198368957877
28.79,283.196384731705
28.8,283.194400505532
28.81,283.19241627936
28.82,283.190432053187
28.83,283.188447827015
28.84,283.186474639428
28.85,283.184509023431
28.86,283.182543407433
28.87,283.180577791436
28.88,283.178612175439
28.89,283.176646559441
28.9,283.174680943444
28.91,283.172715327446
28.92,283.170749711449
28.93,283.168784231423
28.94,283.166837106087
28.95,283.164889980752
28.96,283.162942855416
28.97,283.16099573008
28.98,283.159048604745
28.99,283.157101479409
29,283.155154354073
29.01,283.153207228738
29.02,283.151260103402
29.03,283.149320722628
29.04,283.147391968525
29.05,283.145463214422
29.06,283.143534460318
29.07,283.141605706215
29.08,283.139676952112
29.09,283.137748198009
29.1,283.135819443906
29.11,283.133890689803
29.12,283.131961935699
29.13,283.13004843589
29.14,283.128137933683
29.15,283.126227431476
29.16,283.12431692927
29.17,283.122406427063
29.18,283.120495924857
29.19,283.11858542265
29.2,283.116674920443
29.21,283.114764418237
29.22,283.112858448661
29.23,283.110966079117
29.24,283.109073709574
29.25,283.10718134003
29.26,283.105288970487
29.27,283.103396600943
29.28,283.101504231399
29.29,283.099611861856
29.3,283.097719492312
29.31,283.095827122769
29.32,283.093946717389
29.33,283.092072361387
29.34,283.090198005385
29.35,283.088323649382
29.36,283.08644929338
29.37,283.084574937377
29.38,283.082700581375
29.39,283.080826225372
29.4,283.07895186937
29.41,283.077078915974
29.42,283.075222454511
29.43,283.073365993048
29.44,283.071509531585
29.45,283.069653070123
29.46,283.06779660866
29.47,283.065940147197
29.48,283.064083685734
29.49,283.062227224272
29.5,283.060370762809
29.51,283.058523057417
29.52,283.056684371622
29.53,283.054845685827
29.54,283.053007000032
29.55,283.051168314237
29.56,283.049329628442
29.57,283.047490942647
29.58,283.045652256852
29.59,283.043813571057
29.6,283.041974885262
29.61,283.040152210653
29.62,283.038331181792
29.63,283.036510152931
29.64,283.03468912407
29.65,283.032868095209
29.66,283.031047066348
29.67,283.029226037487
29.68,283.027405008626
29.69,283.025583979766
29.7,283.023768580692
29.71,283.021965090178
29.72,283.020161599665
29.73,283.018358109151
29.74,283.016554618637
29.75,283.014751128124
29.76,283.01294763761
29.77,283.011144147096
29.78,283.009340656582
29.79,283.007537166069
29.8,283.005746482754
29.81,283.003960412156
29.82,283.002174341558
29.83,283.000388270961
29.84,282.998602200363
29.85,282.996816129765
29.86,282.995030059167
29.87,282.99324398857
29.88,282.991457917972
29.89,282.989674432414
29.9,282.987905663465
29.91,282.986136894516
29.92,282.984368125567
29.93,282.982599356618
29.94,282.980830587669
29.95,282.97906181872
29.96,282.977293049771
29.97,282.975524280822
29.98,282.973755511873
29.99,282.971996427845
30,282.97024484245
30.01,282.968493257054
30.02,282.966741671659
30.03,282.964990086264
30.04,282.963238500869
30.05,282.961486915474
30.06,282.959735330078
30.07,282.957983744683
30.08,282.956232159288
30.09,282.95449726104
30.1,282.952762741284
30.11,282.951028221529
30.12,282.949293701773
30.13,282.947559182018
30.14,282.945824662262
30.15,282.944090142507
30.16,282.942355622751
30.17,282.940621102996
30.18,282.93889322728
30.19,282.937175655439
30.2,282.935458083598
30.21,282.933740511757
30.22,282.932022939916
30.23,282.930305368075
30.24,282.928587796234
30.25,282.926870224393
30.26,282.925152652551
30.27,282.92343508071
30.28,282.921731078076
30.29,282.920030336621
30.3,282.918329595166
30.31,282.916628853711
30.32,282.914928112256
30.33,282.913227370801
30.34,282.911526629346
30.35,282.909825887891
30.36,282.908125146436
30.37,282.906428089181
30.38,282.904744060788
30.39,282.903060032396
30.4,282.901376004004
30.41,282.899691975612
30.42,282.89800794722
30.43,282.896323918828
30.44,282.894639890435
30.45,282.892955862043
30.46,282.891271833651
30.47,282.88959833778
30.48,282.88793090534
30.49,282.8862634729
30.5,282.88459604046
30.51,282.88292860802
30.52,282.88126117558
30.53,282.879593743141
30.54,282.877926310701
30.55,282.876258878261
30.56,282.874592250817
30.57,282.872941297439
30.58,282.871290344062
30.59,282.869639390685
30.6,282.867988437307
30.61,282.86633748393
30.62,282.864686530553
30.63,282.863035577175
30.64,282.861384623798
30.65,282.859733670421
30.66,282.858090293739
30.67,282.856455702763
30.68,282.854821111786
30.69,282.85318652081
30.7,282.851551929834
30.71,282.849917338857
30.72,282.848282747881
30.73,282.846648156905
30.74,282.845013565928
30.75,282.843378974952
30.76,282.841758635935
30.77,282.840140290934
30.78,282.838521945933
30.79,282.836903600932
30.8,282.835285255931
30.81,282.83366691093
30.82,282.832048565929
30.83,282.830430220928
30.84,282.828811875927
30.85,282.827198232222
30.86,282.825596017014
30.87,282.823993801806
30.88,282.822391586598
30.89,282.820789371391
30.9,282.819187156183
30.91,282.817584940975
30.92,282.815982725767
30.93,282.814380510559
30.94,282.812778295352
30.95,282.811187380681
30.96,282.809601179335
30.97,282.808014977989
30.98,282.806428776643
30.99,282.804842575297
31,282.803256373951
31.01,282.801670172605
31.02,282.800083971259
31.03,282.798497769913
31.04,282.796913474408
31.05,282.79534317125
31.06,282.793772868093
31.07,282.792202564935
31.08,282.790632261777
31.09,282.78906195862
31.1,282.787491655462
31.11,282.785921352305
31.12,282.784351049147
31.13,282.782780745989
31.14,282.781218872154
31.15,282.779664351777
31.16,282.778109831399
31.17,282.776555311022
31.18,282.775000790645
31.19,282.773446270267
31.2,282.77189174989
31.21,282.770337229512
31.22,282.768782709135
31.23,282.767228188757
31.24,282.765688525837
31.25,282.764149673104
31.26,282.762610820371
31.27,282.761071967638
31.28,282.759533114905
31.29,282.757994262172
31.3,282.756455409439
31.31,282.754916556705
31.32,282.753377703972
31.33,282.751844489044
31.34,282.750321189099
31.35,282.748797889153
31.36,282.747274589208
31.37,282.745751289262
31.38,282.744227989317
31.39,282.742704689372
31.4,282.741181389426
